s,lat,long,label,image
"http://dbpedia.org/resource/Jonesville,_South_Carolina",34.8356,-81.6817,"Jonesville, South Carolina",http://commons.wikimedia.org/wiki/Special:FilePath/SCMap-doton-Jonesville.png?width=300
http://dbpedia.org/resource/United_States,38.8833,-77.0167,United States,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_United_States.svg?width=300
