URI,types,entity,offset,similarityScore,sentenceIndex,paragraphIndex,section,entType
http://dbpedia.org/resource/Essen,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Essen,96,0.995968989607173,0,0,,place
https://www.wikidata.org/wiki/Q822239,Q822239,König,0,,0,2,,person
http://dbpedia.org/resource/Schwabach,"Wikidata:Q486972,Wikidata:Q3957,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Town",Schwabach,19,1.0,0,2,== Life ==,place
http://dbpedia.org/resource/Bavaria,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Bavaria,32,0.9956818459919404,0,2,== Life ==,place
https://www.wikidata.org/wiki/Q822239,Q822239,König,0,,1,2,,person
https://www.wikidata.org/wiki/Q1795951,Q1795951,König,0,,0,3,,person
http://dbpedia.org/resource/Szczecin,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Szczecin,107,0.9999998208600848,0,3,== Life ==,place
http://dbpedia.org/resource/Berlin,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Berlin,131,0.7897095786087864,0,3,== Life ==,place
https://www.wikidata.org/wiki/Q1795951,Q1795951,König,15,,1,3,,person
http://dbpedia.org/resource/Essen,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Essen,57,0.975676508119138,1,3,== Life ==,place
https://www.wikidata.org/wiki/Q1795951,Q1795951,König,24,,2,3,,person
http://dbpedia.org/resource/Karl_Bauer,"DBpedia:Person,DBpedia:MusicalArtist,wikidata:Q215627",Karl Bauer,78,0.9999958689481112,2,3,== Life ==,person
,,Jürgen Dieter Waidelich,111,,2,3,,person
https://www.wikidata.org/wiki/Q1795951,Q1795951,König,0,,3,3,,person
https://www.wikidata.org/wiki/Q1795951,Q1795951,König,0,,4,3,,person
http://dbpedia.org/resource/Essen,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Essen,11,0.987302476601442,4,3,== Life ==,place
http://dbpedia.org/resource/Alban_Berg,"DBpedia:Person,DBpedia:MusicalArtist,wikidata:Q215627",Alban Berg,129,1.0,0,5,== Legacy ==,person
,,Luigi Dallapiccola's,153,,0,5,,person
http://dbpedia.org/resource/Luigi_Dallapiccola,"DBpedia:Person,DBpedia:MusicalArtist,wikidata:Q215627",Luigi Dallapiccola,155,1.0,0,5,== Legacy ==,person
http://dbpedia.org/resource/Hermann_Reutter,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person",Hermann Reutter,202,1.0,0,5,== Legacy ==,person
