sentences,sentenceIndex,paragraphIndex,section,wikiId
"Thelma Aoyama (青山 テルマ, Aoyama Teruma, born 27 October 1987) is a Japanese pop and R&B singer.",0,0,N/A,17095291
She is part Afro-Trinidadian and Japanese.,1,0,N/A,17095291
"She is known for her collaboration song with SoulJa, ""Koko ni Iru yo"" and her answer song ""Soba ni Iru ne"".",0,1,N/A,17095291
"In September 2008, the Guinness World Records certified that ""Soba ni Iru ne"" was the best-selling digital download single in Japan with over two million ""full-track"" downloads (Chaku Uta Full).",1,1,N/A,17095291
"Including various forms of digital downloads, it sold over 8.7 million downloads by November 2008.",2,1,N/A,17095291
"The Guinness record was surpassed by Greeeen's song ""Kiseki"" in June 2009.",3,1,N/A,17095291
==,0,2,== Biography ==,17095291
Biography ==,1,2,== Biography ==,17095291
She was born Thelma Juri Aoyama (青山テルマじゅり) and spent six years at Osaka International School as an elementary school student.,0,3,== Biography ==,17095291
"At age 12, her family moved to Torrance, California, where she lived for two years and attended Calle Mayor Middle School.",1,3,== Biography ==,17095291
"She returned to Japan in the winter of 2002, settling in Tokyo.",2,3,== Biography ==,17095291
Aoyama attended the American School in Japan.,3,3,== Biography ==,17095291
She attended Sophia University.,4,3,== Biography ==,17095291
Aoyama was inspired to become a performer by Janet Jackson.,0,4,== Biography ==,17095291
"Her first release in the music world was a collaboration on DS455's single ""Summer Paradise: Risin' To Tha Sun, feat.",1,4,== Biography ==,17095291
"Aoyama Thelma"".",2,4,== Biography ==,17095291
The single reached #46 on the Oricon charts.,3,4,== Biography ==,17095291
"On 9 September 2007, Aoyama made her solo debut with the single ""One Way"".",4,4,== Biography ==,17095291
This single debuted at No. 98 on the Oricon charts.,5,4,== Biography ==,17095291
"Two weeks later, Aoyama was featured on the hit single ""Koko ni Iru yo"" with fellow J-Soul artist SoulJa.",6,4,== Biography ==,17095291
The single stayed on the charts for many weeks.,7,4,== Biography ==,17095291
"The single sold over 100,000 copies and reached No. 6 on the charts.",8,4,== Biography ==,17095291
"In early 2008, Aoyama released an answer song to the single ""Koko ni Iru yo"" by SoulJa with her own single titled ""Soba ni Iru ne"" which also featured SoulJa.",0,5,== Biography ==,17095291
"The songs are similar, and share the same chorus.",1,5,== Biography ==,17095291
"However, the song ""Soba ni Iru ne"" proved to be more popular than the song """,2,5,== Biography ==,17095291
Koko ni,3,5,== Biography ==,17095291
"Iru yo"", debuting at No. 3 in its first week on the Oricon charts, and in its second week reached No. 1 on the charts.",4,5,== Biography ==,17095291
"""Soba ni Iru ne"" stayed in the Top 5 ranking for 7 consecutive weeks.",5,5,== Biography ==,17095291
It became the highest-selling female single (strictly a duet song) on the Oricon 2008 yearly charts.,6,5,== Biography ==,17095291
"Her debut album, Diary, was released in Japan on 26 March 2008.",7,5,== Biography ==,17095291
"On 11 February 2009, she released the album Love!:",0,6,== Biography ==,17095291
"Thelma Love Song Collection, which debuted at the number-one position on the Oricon weekly charts.",1,6,== Biography ==,17095291
Her album Emotions was released in September 2009.,2,6,== Biography ==,17095291
"Aoyama collaborated with Big Bang's Taeyang for her single, ""Fall in Love"", released on 27 January 2010.",0,7,== Biography ==,17095291
"Aoyama's single ""Kaeru Basho"" was released on 3 March 2010.",1,7,== Biography ==,17095291
The song was used in the movie Doraemon: Nobita's Great Battle of the Mermaid King.,2,7,== Biography ==,17095291
"This single features SoulJa, and has a B side called ""Anata ga Kiechaisode"".",3,7,== Biography ==,17095291
Summer Love!!,4,7,== Biography ==,17095291
featuring Red Rice came out in 2010.,5,7,== Biography ==,17095291
"In 2010, she sang with the Taiwan pop group Da Mouth in a duet with the female lead singer Aisa, on the song ""Secret Life"".",0,8,== Biography ==,17095291
The song appears on the album Da First Episode.,1,8,== Biography ==,17095291
"Aoyama collaborated with Korean girl group 4Minute on the single, ""Without U"", released on 25 May 2011.",0,9,== Biography ==,17095291
The English version was released on 7 May 2011.,1,9,== Biography ==,17095291
"She contributed a cover of hide's ""Tell Me"" to the Tribute VI -Female Spirits- tribute album, which was released on 18 December 2013.",0,10,== Biography ==,17095291
==,0,11,== Discography ==,17095291
Discography ==,1,11,== Discography ==,17095291
Diary (2008),0,12,== Discography ==,17095291
Emotions (2009),0,13,== Discography ==,17095291
Will (2011),0,14,== Discography ==,17095291
Lonely Angel (2014),0,15,== Discography ==,17095291
10th Diary (2017),0,16,== Discography ==,17095291
High School Gal (2018),0,17,== Discography ==,17095291
Scorpion Moon (2021),0,18,== Discography ==,17095291
==,0,19,== References ==,17095291
References ==,1,19,== References ==,17095291
==,0,20,== External links ==,17095291
External links ==,1,20,== External links ==,17095291
Official Site (in Japanese),0,21,== External links ==,17095291
Thelma Aoyama's channel on YouTube,0,22,== External links ==,17095291
Universal Label Site (in Japanese),0,23,== External links ==,17095291
Oricon Profile (in Japanese),0,24,== External links ==,17095291
Official Blog (in Japanese),0,25,== External links ==,17095291
