sentences,sentenceIndex,paragraphIndex,section,wikiId
"Brad Barr (born July 27, 1975) is an American guitarist and singer-songwriter, best known for his work with The Slip, The Barr Brothers and Surprise Me Mr. Davis.",0,0,N/A,21054808
"In 2007, Barr collaborated with Jade McNelis on her album All the Fables  In 2008, Barr collaborated with Sonya Kitchell on her album This Storm.",0,1,N/A,21054808
"In 2009, he performed on the Land of Talk album, Fun and Laughter.",1,1,N/A,21054808
"On September 16, 2008, Barr released an album of solo instrumental guitar music entitled The Fall Apartment on Tompkins Square Records.",0,2,N/A,21054808
"In 2021, Barr collaborated with Morcheeba on ""Say It's Over"", a track on the band's tenth studio album Blackest Blue.",1,2,N/A,21054808
==,0,3,== References ==,21054808
References ==,1,3,== References ==,21054808
