sentences,sentenceIndex,paragraphIndex,section,wikiId
"Chanté Torrane Moore (born February 17, 1967) is an American singer-songwriter, actress, television personality, and author.",0,0,N/A,1359852
"Rising to fame in the early 1990s, Moore established herself as an R&B singer.",1,0,N/A,1359852
Her debut studio album Precious was released in 1992.,0,1,N/A,1359852
"The album was certified gold by the RIAA on November 14, 1994, in the United States, spawning such R&B hits as ""Love's Taken Over"" and ""It's Alright"".",1,1,N/A,1359852
"Released in 1994, her second album, A Love Supreme, did not achieve the same success as her debut album.",2,1,N/A,1359852
"In 1999, her third album, This Moment Is Mine, was released.",0,2,N/A,1359852
"The album included ""Chanté's Got a Man"", her first top 10 on the Billboard Hot 100 and No. 2 on the R&B chart, which became her signature song and her best charting song to date.",1,2,N/A,1359852
"She then released three more solo studio albums, Exposed (2000) Love the Woman (2008), Moore Is More (2013) and two collaborative albums Things That Lovers Do (2003), Uncovered/Covered (2006), both with Kenny Lattimore.",2,2,N/A,1359852
"Aside from her success in music, Moore became a television personality in 2013, being involved in TV One's reality series R&B Divas: Los Angeles for three seasons before it was cancelled.",0,3,N/A,1359852
==,0,4,== Biography ==,1359852
Biography ==,1,4,== Biography ==,1359852
"Born to Christian Evangelist parents, she grew up singing in the church and was heavily influenced by the music of George Duke and Lee Ritenour.",0,5,== Biography ==,1359852
"She was a beauty pageant contestant and model when, at age twenty-two, she was discovered by MCA Records executive Louil Silas.",1,5,== Biography ==,1359852
==,0,6,== Career ==,1359852
Career ==,1,6,== Career ==,1359852
===,0,7,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
1991–1995:,1,7,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"Debut album Precious, breakthrough and A Love Supreme",2,7,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
===,3,7,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
Moore was signed to Silas' MCA-distributed imprint Silas Records.,0,8,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"She had previously been signed to Warner Bros Records by Benny Medina at the age of 19, recording a whole album before being dropped.",1,8,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"In 1991, a song ""Candlelight and You"" featuring Moore's vocals with R&B singer Keith Washington was featured on the House Party 2 soundtrack and immediately began recording her solo debut album.",2,8,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"On September 29, 1992, Silas Records and MCA Records released Moore's debut album, Precious.",0,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"The album featured production from Simon Law, Bebe Winans, George Duke, among others, peaked at number one-hundred and one on the U.S. Billboard 200 albums chart.",1,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"The first single, ""Love's Taken Over"" peaked at number eighty-six and number thirteen on the Billboard Hot 100 and R&B Singles charts, respectively.",2,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"The album's second single, It's Alright failed to make impact on the Billboard Hot 100, however peaked at number thirteen on the R&B charts.",3,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"More singles from Precious were released in 1993, ""As If We Never Met"" and ""Who Do I Turn To?"".",4,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"The album was certified gold by the RIAA on November 14, 1994.",5,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"On November 15, 1994, Moore released her second album A Love Supreme and peaked at sixty-four on the Billboard 200 albums chart.",6,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"Moore was one of the co-executive producers of the album and co-wrote eight of its songs, along with Fred Moultrie.",7,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"The album's first single, ""Old School Lovin'"", peaked at number nineteen on the R&B chart, marking her third top 20 R&B song.",8,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"Three more songs were released from the album: ""This Time"" (1994), ""I'm What You Need"" (1995) and ""Free/Sail On"" (1995).",9,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
"In 1995, Moore appeared on the soundtrack to the hit film Waiting to Exhale, featured on five tracks including solo, ""Wey U,"" and backing vocals on the hit single, ""Count On Me.""",10,9,"== Career == | === 1991–1995: Debut album Precious, breakthrough and A Love Supreme ===",1359852
===,0,10,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
1999–2002:,1,10,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"This Moment Is Mine, divorce and Exposed =",2,10,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
==,3,10,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"In 1999, she released her third album This Moment Is Mine, which was led by her biggest single to date, ""Chanté's Got a Man"", written for then-husband Kadeem Hardison.",0,11,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
It peaked at number ten on the Billboard Hot 100 chart and number two on the R&B chart and was certified gold.,1,11,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"It was followed-up by the single ""I See You in a Different Light"" with JoJo Hailey of Jodeci and included as the theme for the film For the Love of the Game starring Kevin Costner.",2,11,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"Following her divorce from Hardison, Moore worked with a different set of collaborators for the more contemporary R&B album Exposed, which followed in 2000.",0,12,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"That included the singles ""Straight Up"" (produced by Jermaine Dupri) and ""Bitter"" for which the latter's video continued the saga of the R. Kelly and The Isley Brothers ""Mr. Big"" story.",1,12,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
"In 2002, Moore had the distinction of winning a Soul Train Music Award for Best R&B/Soul Single for the song ""Contagious"", featuring The Isley Brothers and R. Kelly.",0,13,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
The song was also nominated for a Grammy Award for R&B Performance by a Duo or Group with Vocal.,1,13,"== Career == | === 1999–2002: This Moment Is Mine, divorce and Exposed ===",1359852
===,0,14,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered =,1,14,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
==,2,14,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
"A year after marrying R&B singer Kenny Lattimore, the two signed as a duet act to Arista Records and released a duet cover album entitled Things That Lovers Do in 2003.",0,15,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
"The album was promoted with a stageplay named after the album and a music video for the single ""You Don't Have to Cry"", which shows a prominently pregnant Moore on screen with Lattimore.",1,15,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
"In fall 2006, Moore issued a follow-up to Things That Lovers Do, another album of duets with her husband Kenny Lattimore; a double-CD of gospel and R&B love songs titled Uncovered/Covered.",0,16,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
"The set was led off by dual singles, the Bryan-Michael Cox-produced ""Figure It Out"", and ""Make Me Like the Moon"", a gospel ballad co-written by Lattimore and Moore and produced by Fred Hammond.",1,16,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
"Uncovered/Covered was released October 10, 2006 on LaFace/Verity/Zomba Music Group.",2,16,== Career == | === 2003–2007: Duet albums with Kenny Lattimore: Things That Lovers Do and Covered/Uncovered ===,1359852
