sentences,sentenceIndex,paragraphIndex,section,wikiId
Diana Gutkind is an English pianist and keyboardist.,0,0,N/A,18893703
"Gutkind worked as a session musician with bands such as Sandals, before joining Blur as their live keyboardist in 1995.",0,1,N/A,18893703
She took over the part of Cara Tivey.,1,1,N/A,18893703
She stayed with the band up to their 2000 Best of concert tour.,2,1,N/A,18893703
"She played numerous gigs with the band and can be seen with the band on the Singles Night concert video, and be heard on the live version of Beetlebum that appeared on the Tibetan Freedom Concert album, and Live at the Budokan.",3,1,N/A,18893703
"In 2004, she played keyboards on Something Ilk by Cathy Davey.",0,2,N/A,18893703
"In 2005, she played piano on two tracks from Before the Poison by Marianne Faithfull.",1,2,N/A,18893703
"She is currently in the band Mesmerise with Scottish free jazz singer, Maggie Nicols.",0,3,N/A,18893703
==,0,4,== References ==,18893703
References ==,1,4,== References ==,18893703
