sentences,sentenceIndex,paragraphIndex,section,wikiId
"Helena Hubertina Johanna ""Lenny"" Kuhr (born 22 February 1950) is a Dutch singer-songwriter.",0,0,N/A,1351460
==,0,1,== Career ==,1351460
Career ==,1,1,== Career ==,1351460
"In 1967, she started a singing career in the Netherlands, performing songs in the French chanson tradition.",0,2,== Career ==,1351460
"In 1969, she represented the Netherlands in the Eurovision Song Contest with her composition ""De troubadour"" (lyrics by David Hartsema; orchestra conducted by Franz de Kok).",1,2,== Career ==,1351460
She was one of the four winners that year.,2,2,== Career ==,1351460
"In the early seventies, Kuhr was more successful in France than in her home country.",0,3,== Career ==,1351460
In 1970 she toured with George Brassens.,1,3,== Career ==,1351460
"Late 1971 she had a top 10 hit in France with ""Jesus Christo"".",2,3,== Career ==,1351460
"In 1980, she had her biggest hit in the Netherlands: ""Visite"", a song she performed with the French group Les Poppys.",0,4,== Career ==,1351460
"She has been releasing records ever since, though without major chart success.",1,4,== Career ==,1351460
"Lenny Kuhr was one of the artists who recorded the song ""Shalom from Holland"" (written by Simon Hammelburg and Ron Klipstein) as a token of solidarity to the Israeli people, threatened by missiles from Iraq, during the Gulf War in 1991.",0,5,== Career ==,1351460
"Lenny Kuhr performed ""De troubadour"" during the interval of the Grand Final of the Eurovision Song Contest on Saturday 22 May 2021 in Rotterdam, in a segment called ""Rock the Roof"", together with other Eurovision winners.",0,6,== Career ==,1351460
==,0,7,== Personal life ==,1351460
Personal life ==,1,7,== Personal life ==,1351460
"Kuhr's first marriage was in 1974 to an Israeli doctor, whom she met after she had her nose damaged in an attack in May 1973, in Haarlem.",0,8,== Personal life ==,1351460
Her new husband repaired her nose and Kuhr converted to Judaism.,1,8,== Personal life ==,1351460
"She had two daughters with her first husband, one in 1975 and the second in 1980.",2,8,== Personal life ==,1351460
She also lived in Israel for a while.,3,8,== Personal life ==,1351460
"After her divorce, Kuhr was romantically involved with songwriter Herman Pieter de Boer, from 1981 to 1993.",4,8,== Personal life ==,1351460
She was married for a second time in 2003.,0,9,== Personal life ==,1351460
==,0,10,== Discography ==,1351460
Discography ==,1,10,== Discography ==,1351460
1969:,0,11,== Discography ==,1351460
Lenny Kuhr,1,11,== Discography ==,1351460
1971:,0,12,== Discography ==,1351460
De zomer achterna,1,12,== Discography ==,1351460
1972:,0,13,== Discography ==,1351460
Tout ce que j'aime / Les enfants,1,13,== Discography ==,1351460
1972:,0,14,== Discography ==,1351460
De wereld waar ik van droom,1,14,== Discography ==,1351460
1974: God laat ons vrij,0,15,== Discography ==,1351460
1976: 'n Dag als vandaag,0,16,== Discography ==,1351460
1980:,0,17,== Discography ==,1351460
Dromentrein,1,17,== Discography ==,1351460
1981:,0,18,== Discography ==,1351460
Avonturen,1,18,== Discography ==,1351460
1982:,0,19,== Discography ==,1351460
Oog in oog,1,19,== Discography ==,1351460
1983:,0,20,== Discography ==,1351460
De beste van Lenny Kuhr (compilation album),1,20,== Discography ==,1351460
1986:,0,21,== Discography ==,1351460
Quo vadis,1,21,== Discography ==,1351460
1988:,0,22,== Discography ==,1351460
Lenny Kuhr (compilation album),1,22,== Discography ==,1351460
1990:,0,23,== Discography ==,1351460
Het beste van Lenny Kuhr (compilation album),1,23,== Discography ==,1351460
1990:,0,24,== Discography ==,1351460
De blauwe nacht,1,24,== Discography ==,1351460
1992:,0,25,== Discography ==,1351460
Heilig vuur,1,25,== Discography ==,1351460
1994:,0,26,== Discography ==,1351460
Altijd heimwee,1,26,== Discography ==,1351460
1997:,0,27,== Discography ==,1351460
Gebroken stenen (also released in German as Gebrochene Steine),1,27,== Discography ==,1351460
1997:,0,28,== Discography ==,1351460
Stemmen in de nacht,1,28,== Discography ==,1351460
1999:,0,29,== Discography ==,1351460
Oeverloze liefde,1,29,== Discography ==,1351460
2000:,0,30,== Discography ==,1351460
Visite (compilation album),1,30,== Discography ==,1351460
2001:,0,31,== Discography ==,1351460
Hollands glorie (compilation album),1,31,== Discography ==,1351460
2001:,0,32,== Discography ==,1351460
Fadista,1,32,== Discography ==,1351460
2004:,0,33,== Discography ==,1351460
Op de grens van jou en mij,1,33,== Discography ==,1351460
2005:,0,34,== Discography ==,1351460
Panta Rhei,1,34,== Discography ==,1351460
2007: 40 Jaar verliefd (live album),0,35,== Discography ==,1351460
2010:,0,36,== Discography ==,1351460
Hollands glorie (compilation album),1,36,== Discography ==,1351460
2010:,0,37,== Discography ==,1351460
Mijn liedjes mijn leven (CD/DVD boxset),1,37,== Discography ==,1351460
2011:,0,38,== Discography ==,1351460
Liefdeslied,1,38,== Discography ==,1351460
2013:,0,39,== Discography ==,1351460
Wie ben je,1,39,== Discography ==,1351460
2017:,0,40,== Discography ==,1351460
Gekust door de eeuwigheid,1,40,== Discography ==,1351460
2019:,0,41,== Discography ==,1351460
Het lied gaat door,1,41,== Discography ==,1351460
2021:,0,42,== Discography ==,1351460
Favorieten Expres (compilation album),1,42,== Discography ==,1351460
2022:,0,43,== Discography ==,1351460
Lenny Kuhr,1,43,== Discography ==,1351460
==,0,44,== References ==,1351460
References ==,1,44,== References ==,1351460
==,0,45,== External links ==,1351460
External links ==,1,45,== External links ==,1351460
Official website (in Dutch),0,46,== External links ==,1351460
