sentences,sentenceIndex,paragraphIndex,section,wikiId
"Lou Frizzell (June 10, 1920 – June 17, 1979) was an American actor and music director who worked on Broadway productions, television shows and films.",0,0,N/A,51560453
== Filmography ==,0,1,== Filmography ==,51560453
== References ==,0,2,== References ==,51560453
== External links ==,0,3,== External links ==,51560453
Lou Frizzell at IMDb,0,4,== External links ==,51560453
Lou Frizzell at Find a Grave,0,5,== External links ==,51560453
