sentences,sentenceIndex,paragraphIndex,section,wikiId
"Len Graham (born 1944) is a Northern Irish traditional singer and song collector from County Antrim, Northern Ireland.",0,0,N/A,27590753
He is a leading authority on Folk music in Ireland.,1,0,N/A,27590753
==,0,1,== Early life ==,27590753
Early life ==,1,1,== Early life ==,27590753
Graham was born in County Antrim.,0,2,== Early life ==,27590753
"His father, a fiddler, brought him to sessions in the local area as a young boy.",1,2,== Early life ==,27590753
"Throughout the 1960s, Len travelled around Ireland to record and preserve folk songs, befriending singers such as Joe Holmes.",2,2,== Early life ==,27590753
"Graham won the All Ireland Fleadh Cheoil na hÉireann traditional singing competition in 1971, an important accolade for Irish traditional musicians around the world.",3,2,== Early life ==,27590753
==,0,3,== Career ==,27590753
Career ==,1,3,== Career ==,27590753
"In 1975 Graham released his first album, a collaboration with his mentor Joe Holmes, Chaste Muses, Bards and Sages on Free Reed Records.",0,4,== Career ==,27590753
"In 1976 he released his first solo album, Wind and Water with Topic Records.",1,4,== Career ==,27590753
"This was followed by his second collaboration with Holmes in 1978: After Dawning: Traditional Songs, Ballads and Lilts from the North of Ireland Topic Records, which was also later released on the Ossian USA label.",2,4,== Career ==,27590753
Graham continued to collaborate with other poets and seanchaithe and storytellers.,0,5,== Career ==,27590753
"Since collecting songs from Ulster's older traditional singers, among them Eddie Butcher and Joe Holmes, his association with John Campbell would begin a 20-year collaboration of story and song.",1,5,== Career ==,27590753
"During the 1980s–90s, Graham and Campbell would bring their events and work to cross-community groups around Ireland, especially to the north which was experiencing armed conflict.",2,5,== Career ==,27590753
"Since John Campbell's passing in 2006, Len has toured regularly with storyteller Jack Lynch.",3,5,== Career ==,27590753
Graham and Campbell also gave talks on the shared cultural traditions of both the nationalist and unionist populations in Northern Ireland.,0,6,== Career ==,27590753
"Graham collaborates with American-born singer Brían Ó hAirt, touring regions of North America annually.",1,6,== Career ==,27590753
"Their performances feature the duet singing tradition that was common among the singing communities of Ulster during Graham's own youth; they also feature the repertoire shared between the Ulster and Appalachian/Ozark traditions as well as lilting, sean-nós dancing, spoons playing and tunes on the tin whistle and concertina.",2,6,== Career ==,27590753
"Songs collected and recorded by Graham are now well known in folk repertoire around the world, and have been recorded by Altan, De Dannan, The Chieftains, Cherish the Ladies, Andy Irvine and Karen Casey, among others.",3,6,== Career ==,27590753
His recording career has produced over twenty albums of song.,0,7,== Career ==,27590753
"In November 2008, he gave a lecture and performance at the Library of Congress entitled It's of My Rambles: A Journey in the Song Tradition of Ulster.",1,7,== Career ==,27590753
"Graham's book, Here I Am Amongst You, on the songs, dance music and traditions of Joe Holmes was published by Four Courts Press in 2010.",2,7,== Career ==,27590753
==,0,8,== Awards and honours ==,27590753
Awards and honours ==,1,8,== Awards and honours ==,27590753
"1992 – Seán O'Boyle Cultural Traditions Award: ""in recognition of his work in Ireland as a song collector and singer.""",0,9,== Awards and honours ==,27590753
2002 – National Music Award for Traditional Singer of the Year,0,10,== Awards and honours ==,27590753
2008 – Keeper of the Tradition Award from the Tommy Makem Festival of Traditional Song,0,11,== Awards and honours ==,27590753
"2008 – United States' Irish Music Award in the ""Sean-Nós Singing"" category: ""His rich recording history spans over thirty years, with more than twenty albums to his credit""",0,12,== Awards and honours ==,27590753
==,0,13,== Personal life ==,27590753
Personal life ==,1,13,== Personal life ==,27590753
"Graham and his wife Pádraigín Ní Uallacháin, who is also a traditional singer, both specialise in the songs of Ulster.",0,14,== Personal life ==,27590753
"Together they recorded an album of children's songs, called ""When I was Young.""",1,14,== Personal life ==,27590753
"They live in Mullaghbawn, Co. Armagh.",2,14,== Personal life ==,27590753
He is the uncle of fiddler and producer Dónal O'Connor.,3,14,== Personal life ==,27590753
==,0,15,== Discography ==,27590753
Discography ==,1,15,== Discography ==,27590753
In 2009 The Knight Templar's Dream from Wind and Water was included in Topic Records 70-year anniversary boxed set Three Score and Ten as track eighteen on the third CD.,0,16,== Discography ==,27590753
==,0,17,== Publications ==,27590753
Publications ==,1,17,== Publications ==,27590753
"Graham, Len (2010).",0,18,== Publications ==,27590753
Joe Holmes : Here I Am Amongst You.,1,18,== Publications ==,27590753
Dublin: Four Courts Press.,2,18,== Publications ==,27590753
ISBN 978-1-84682-252-0.,3,18,== Publications ==,27590753
==,0,19,== References ==,27590753
References ==,1,19,== References ==,27590753
==,0,20,== External links ==,27590753
External links ==,1,20,== External links ==,27590753
Official website – Len Graham,0,21,== External links ==,27590753
A lecture in the Song Tradition of Ulster given by Len Graham to the Library of Congress,0,22,== External links ==,27590753
