sentences,sentenceIndex,paragraphIndex,section,wikiId
Knut Reiersrud (born 12 February 1961) is a Norwegian blues guitarist.,0,0,N/A,5530899
His work also incorporates elements of Norwegian traditional music and African music.,1,0,N/A,5530899
"Reiersrud has recorded and played with David Lindley, the Blind Boys Of Alabama, Rickie Lee Jones and Nina Hagen.",2,0,N/A,5530899
He has also numerous collaborations with Middle East performers like Rim Banna and Mahsa Vahdat.,3,0,N/A,5530899
He lives in Oslo.,4,0,N/A,5530899
He has collaborated extensively with the Norwegian organist Iver Kleive.,5,0,N/A,5530899
He is lead guitarist and one of the original members of Cloudberry Cream.,6,0,N/A,5530899
==,0,1,== Career ==,5530899
Career ==,1,1,== Career ==,5530899
"Reiersrud also plays the harmonica, mandolin, langeleik, oud, and Turkish saz, he has composed music for four Norwegian movies, and together with Iver Kleive, took part in the opening ceremony of the '94 Olympic Winter Games.",0,2,== Career ==,5530899
"In 2008 Reiersrud established his own festival «Trestock» at Nesodden, where a superteam of Norwegian musicians contributed.",1,2,== Career ==,5530899
"Among the artists can be mentioned Odd Nordstoga, Valkyrien Allstars and Reiersrud with his own K. R. Band, and in collaboration with organist Iver Kleive.",2,2,== Career ==,5530899
"Upcoming artists, exciting for the younger audience, include Jarle Bernhoft (ex «Span») with his new project; the band «Lester», composed of Nikolai Eilertsen (ex BigBang) and David Wallumrød; and the indie band «Maika».",3,2,== Career ==,5530899
"Other names include The Grand; Amund Maarud's rock band, Spellemannprisen nominated Hemisfair; the girls who play lively frantic noise in Katzenjammer; the Rockabilly girls in Lucky Lips; the country artist Ivar Thomas; the Nesodden heroes «Foggy Boys» and «Midnight Special»; the traditional music trio «Vrang»; and «Drøbak Bluesband».",4,2,== Career ==,5530899
"Reiersrud has for many years been host of the NRK radio program, Blues Asylet, together with Knut Borge.",5,2,== Career ==,5530899
The program is meant to be a playground and a respite for blues and blues-friends of all shades.,6,2,== Career ==,5530899
"In 2004, Krissy Matthews undertook a radio session with Reiersrud for Blues Asylet on NRK P2.",7,2,== Career ==,5530899
==,0,3,== Honors ==,5530899
Honors ==,1,3,== Honors ==,5530899
1991:,0,4,== Honors ==,5530899
Spellemannprisen for the album Blå koral,1,4,== Honors ==,5530899
1992: Gammleng-prisen in the class Studio,0,5,== Honors ==,5530899
1995:,0,6,== Honors ==,5530899
Notodden Bluesfestivalpris,1,6,== Honors ==,5530899
2004:,0,7,== Honors ==,5530899
Spellemannprisen for Pretty Ugly,1,7,== Honors ==,5530899
2006:,0,8,== Honors ==,5530899
"Danish Grammy for the tune ""Nåde Over Nåde""",1,8,== Honors ==,5530899
==,0,9,== Discography ==,5530899
Discography ==,1,9,== Discography ==,5530899
===,0,10,== Discography == | === Solo albums ===,5530899
Solo albums ===,1,10,== Discography == | === Solo albums ===,5530899
"1993 - Tramp (Kirkelig Kulturverksted), released in the U.S. in 1994 under the title Footwork",0,11,== Discography == | === Solo albums ===,5530899
1995 - Klapp (Kirkelig Kulturverksted),0,12,== Discography == | === Solo albums ===,5530899
1998 - Soul of a Man (Kirkelig Kulturverksted),0,13,== Discography == | === Solo albums ===,5530899
1999 - Sub (Kirkelig Kulturverksted),0,14,== Discography == | === Solo albums ===,5530899
2001 - Sweet Showers of Rain (Kirkelig Kulturverksted),0,15,== Discography == | === Solo albums ===,5530899
2004 -,0,16,== Discography == | === Solo albums ===,5530899
Pretty Ugly (Kirkelig Kulturverksted),1,16,== Discography == | === Solo albums ===,5530899
2009 - Gitar (Big Dipper Records),0,17,== Discography == | === Solo albums ===,5530899
2013 - Aftonblues (Bluestown Records),0,18,== Discography == | === Solo albums ===,5530899
"2015 - Tears Of The World (ACT Music), with Mighty Sam McClain",0,19,== Discography == | === Solo albums ===,5530899
2018 -   Heat (Jazzland Recordings),0,20,== Discography == | === Solo albums ===,5530899
===,0,21,== Discography == | === Collaborative works ===,5530899
Collaborative works =,1,21,== Discography == | === Collaborative works ===,5530899
==,2,21,== Discography == | === Collaborative works ===,5530899
"1982 - Rooster Blues (Hot Club Records), with «The Four Roosters»",0,22,== Discography == | === Collaborative works ===,5530899
"1993 - Roots To Scandinavian Blues (Hot Club Records), with Nappy Brown",0,23,== Discography == | === Collaborative works ===,5530899
"1991 - Blå koral (Kirkelig Kulturverksted), with Iver Kleive",0,24,== Discography == | === Collaborative works ===,5530899
"1996 - Himmelskip (Kirkelig Kulturverksted), with Iver Kleive",0,25,== Discography == | === Collaborative works ===,5530899
"2000 - Den Signede Dag (Kirkelig Kulturverksted), with Iver Kleive & Povl Dissing",0,26,== Discography == | === Collaborative works ===,5530899
"2000 - 4G (Curling Legs), guitar album with Frode Alnæs, Knut Værnes & Bjørn Klakegg",0,27,== Discography == | === Collaborative works ===,5530899
"2006 - Nåde For Nåde (Kirkelig Kulturverksted), with Iver Kleive",0,28,== Discography == | === Collaborative works ===,5530899
"2011 - One Drop Is Plenty (Kirkelig Kulturverksted), with Mighty Sam McClain",0,29,== Discography == | === Collaborative works ===,5530899
"2013 - Som Den Gylne Sol, with Iver Kleive and Povl Dissing",0,30,== Discography == | === Collaborative works ===,5530899
"2014 - Blues Detour, with Eric Bibb and Ale Moeller",0,31,== Discography == | === Collaborative works ===,5530899
"2015 - Trail of Souls, with Solveig Slettahjell and In the Country",0,32,== Discography == | === Collaborative works ===,5530899
2019 -,0,33,== Discography == | === Collaborative works ===,5530899
"Flying like Eagles (ACT), feat.",1,33,== Discography == | === Collaborative works ===,5530899
"Knut Reiersrud, Phil Donkin and Jim Black",2,33,== Discography == | === Collaborative works ===,5530899
==,0,34,== References ==,5530899
References ==,1,34,== References ==,5530899
==,0,35,== External links ==,5530899
External links ==,1,35,== External links ==,5530899
Official website,0,36,== External links ==,5530899
Knut Reiersrud performing Scrapper Blackwell´s Back Door Blues on YouTube,0,37,== External links ==,5530899
