sentences,sentenceIndex,paragraphIndex,section,wikiId
David Bruce (born 1970) is a British composer of contemporary classical music and a YouTuber.,0,0,N/A,5837970
==,0,1,== Early life ==,5837970
Early life ==,1,1,== Early life ==,5837970
"Bruce was born in Stamford, Connecticut in 1970, but grew up in England.",0,2,== Early life ==,5837970
"He began his undergraduate music studies in 1988 at the University of Nottingham, where his composition tutors included Jim Fulkerson and Nicholas Sackman.",1,2,== Early life ==,5837970
"He continued at the Royal College of Music from 1991 to 1993, where he obtained a master's degree in Composition, studying with Timothy Salter and George Benjamin.",2,2,== Early life ==,5837970
"He received a PhD in Composition at King's College London between 1995 and 1999, under the supervision of Harrison Birtwistle.",3,2,== Early life ==,5837970
==,0,3,== Career ==,5837970
Career ==,1,3,== Career ==,5837970
Bruce developed an international reputation as a composer.,0,4,== Career ==,5837970
"His work is performed by musicians from around the world, including soprano Dawn Upshaw, klezmer pioneer Giora Feidman and the St. Lawrence String Quartet.",1,4,== Career ==,5837970
Upshaw in particular played an important role in bringing Bruce's music to wider attention.,2,4,== Career ==,5837970
She instigated the commission for his opera A Bird in Your Ear and performed his Piosenki song-cycle at Carnegie Hall and elsewhere.,3,4,== Career ==,5837970
"Upshaw was the soloist in a new song-cycle with ensemble, The North Wind was a Woman, commissioned for the Gala opening of the 2009 season by the Chamber Music Society of the Lincoln Center.",4,4,== Career ==,5837970
His work Gumboots was commissioned by Carnegie Hall for clarinetist Todd Palmer and the St Lawrence String Quartet.,5,4,== Career ==,5837970
His Groanbox was written for New York's Metropolis Ensemble featuring The Groanbox Boys.,6,4,== Career ==,5837970
He wrote Caja de Musica for Concert Artists Guild Winner Bridget Kibbey's Carnegie Hall debut.,7,4,== Career ==,5837970
Bruce's one-act opera A Bird in Your Ear (2008) was commissioned by Bard College and later had performances by New York City Opera as part of the 2009 Vox festival; as a finalist in the National Opera Association's Chamber Opera competition 2008 and with students at New York University.,8,4,== Career ==,5837970
"The New York Times described A Bird in Your Ear as ""skillfully written and imaginative"".",9,4,== Career ==,5837970
Bruce's earlier chamber opera Push! was commissioned by the Genesis Foundation and premiered by Tête à Tête in London and went on tour in the UK in 2006.,10,4,== Career ==,5837970
Push! was Critic's Choice for 2006 in both The Telegraph and Classical Music Magazine.,11,4,== Career ==,5837970
"Other commissions include a series of mini-operas – Out of the Ordinary, for The Opera Group, Has it Happened Yet?",12,4,== Career ==,5837970
(2002),13,4,== Career ==,5837970
"for ENO Studios and Tête à Tête; Seven Tons of Dung for Tête à Tête (1999); incidental music to the Trestle Theatre Company's show The Smallest Person (2004); and instrumental pieces for the London Sinfonietta, BBC Symphony Orchestra, the Presteigne Festival and the Lake District Summer Music Festival.",14,4,== Career ==,5837970
"In 2011, another commission for Carnegie Hall, the octet Steampunk, was premiered by Ensemble ACJW at Skidmore College.",15,4,== Career ==,5837970
"In the 2013/14 season Bruce was Associate Composer of the San Diego Symphony, for whom he wrote three pieces, including Night Parade for the orchestra's highly anticipated Carnegie Hall debut in October 2013; and the violin concerto Fragile Light for Gil Shaham for 2014.",16,4,== Career ==,5837970
"In 2018, Bruce was commissioned by the BBC Proms to write Sidechaining a concerto for four soloists and orchestra.",17,4,== Career ==,5837970
"In 2012-13 Bruce was Composer-in-Residence with the Royal Opera House, who co-commissioned with Glyndebourne the opera Nothing (after the book by Janne Teller), which premiered in Glyndebourne in February 2016.",0,5,== Career ==,5837970
"Nothing received repeat performances in Aarhus, Denmark, and in 2020 a new production of the opera came to Royal Danish Opera in Copenhagen.",1,5,== Career ==,5837970
"Bruce's chamber opera The Firework Maker's Daughter (after the Philip Pullman story) toured the UK and New York in 2013 and was shortlisted for both the British Composer Awards, and the 2014 Olivier Awards for Best New Opera Production.",2,5,== Career ==,5837970
It was revived for a 27-performance run at ROH Lindbury Studios in December 2015.,3,5,== Career ==,5837970
