sentences,sentenceIndex,paragraphIndex,section,wikiId
"Clinton Welander (born September 19, 1982) is a Grammy Award-winning audio recording and mixing engineer based in Los Angeles, CA.",0,0,N/A,40952062
"Raised in Emmetsburg, Iowa, Welander moved to Los Angeles after graduating from the University of Iowa  & Conservatory of Recording Arts and Sciences.",0,1,N/A,40952062
"He almost immediately began working at Sunset Sound Recorders and partner studio The Sound Factory, and has since been involved with many other independent projects.",1,1,N/A,40952062
"In 2012, Clinton received a Grammy Award for engineering Jimmy Cliff's Rebirth album.",2,1,N/A,40952062
==,0,2,== References ==,40952062
References ==,1,2,== References ==,40952062
