sentences,sentenceIndex,paragraphIndex,section,wikiId
"Adam Wade (born July 3, 1968) is an American drummer.",0,0,N/A,18853379
"He was a member of Jawbox, Shudder To Think, Sweet 75 and The Jealous Sound.",1,0,N/A,18853379
"Wade was born in Washington, D.C.",0,1,N/A,18853379
==,0,2,== References ==,18853379
References ==,1,2,== References ==,18853379
Allmusic entry,0,3,== References ==,18853379
"Floodwatch Music Interview, 2008",0,4,== References ==,18853379
Modern Drummer,0,5,== References ==,18853379
