sentences,sentenceIndex,paragraphIndex,section,wikiId
"Charles Gocher Jr. (November 12, 1952 – February 19, 2007) was an American musician, writer and visual artist, most famous for being a founding member, lyricist and drummer of the experimental rock group Sun City Girls.",0,0,N/A,24570892
"He also released Pint Sized Spartacus, a solo album under his own name, in 1997.",1,0,N/A,24570892
"Charles lost his long battle with cancer on February 19, 2007 in Seattle, aged 54.",2,0,N/A,24570892
"The two other members of Sun City Girls, brothers Alan and Richard Bishop, embarked on a tour of the United States and Canada called ""The Brothers Unconnected"" in tribute to Charles' death, featuring showings of the man's video works and stripped-down, acoustic versions of selected Sun City Girls songs, including several tracks written by Gocher himself.",3,0,N/A,24570892
==,0,1,== External links ==,24570892
External links ==,1,1,== External links ==,24570892
Invisible Tempos of the Vanishing Assassin by Alan Bishop,0,2,== External links ==,24570892
A tribute page to Charles Gocher,0,3,== External links ==,24570892
An announcement of Gocher's death on WFMU's Beware of the Blog,0,4,== External links ==,24570892
