sentences,sentenceIndex,paragraphIndex,section,wikiId
"Anders Aarum (born 17 December 1974 in Moss, Norway) is a Norwegian jazz pianist, known from numerous albums and international collaborations like Sonny Simmons, Ola Kvernberg, Tine Asmundsen, Sigurd Køhn, Børre Dalhaug, Nora Brockstedt and Even Kruse Skatrud.",0,0,N/A,37739794
==,0,1,== Biography ==,37739794
Biography ==,1,1,== Biography ==,37739794
"Aarum was educated at Agder Musikkonservatorium, Sibelius Academy in Helsinki, before he headed for Oslo in 1998.",0,2,== Biography ==,37739794
"His jazz talent impressed the Oslo jazz community, and he was a popular collaborator within several bands, while he continued studying at Norges Musikkhøgskole and graduated with the thesis",1,2,== Biography ==,37739794
Stiltrekk som skiller den nordiske jazzen fra den afro-amerikanske.,2,2,== Biography ==,37739794
He led his own Anders Aarum Trio to the debut album Lucky strike (2000) accompanied by Mats Eilertsen (bass) and Torstein Ellingsen (drums).,0,3,== Biography ==,37739794
"It was followed up with Absence in mind (2004), where Ellingsen was replaced by Thomas Strønen.",1,3,== Biography ==,37739794
"The third album of the Trio, First communion (2006), included Ole Morten Vågan (bass) and Andreas Bye (drums).",2,3,== Biography ==,37739794
Aarum is also involved in FAQ (Fossum-Aarum Quartet) together with the brothers Håvard (saxophone and flute) and Jens Fossum (bass).,0,4,== Biography ==,37739794
The drummer Jarle Vespestad is the last but not least member of the crew.,1,4,== Biography ==,37739794
"F.A.Q. was nominated for the 2007 Spellemannprisen in the class Jazz, for their debut album Frequently Asked Questions (2007).",2,4,== Biography ==,37739794
He is also regular pianist in the band Funky Butt.,3,4,== Biography ==,37739794
"Otherwise, he has collaborated on releases with Per Høglend, Randi Tytingvåg, Sølvi Hansen, Ola Kvernberg, Majken Christiansen, Tine Asmundsen, Sigurd Køhn, Sonny Simmons, Børre Dalhaug, Hilde Louise Asbjørnsen, Jazzmob, Nora Brockstedt and Even Kruse Skatrud.",4,4,== Biography ==,37739794
"Aarum was awarded the ""No-fear Prize"" by ""Oslo Jazzradio"", and is associated with Norges Musikkhøgskole as Lecturer in accompaniment.",5,4,== Biography ==,37739794
==,0,5,== Honors ==,37739794
Honors ==,1,5,== Honors ==,37739794
"""No-fear"" Award 2002 by ""Oslo Jazzradio""",0,6,== Honors ==,37739794
==,0,7,== Discography ==,37739794
Discography ==,1,7,== Discography ==,37739794
===,0,8,== Discography == | === As band leader ===,37739794
As band leader =,1,8,== Discography == | === As band leader ===,37739794
==,2,8,== Discography == | === As band leader ===,37739794
Within Anders Aarum Trio,0,9,== Discography == | === As band leader ===,37739794
2000:,0,10,== Discography == | === As band leader ===,37739794
Lucky strike (Hot Club),1,10,== Discography == | === As band leader ===,37739794
2004:,0,11,== Discography == | === As band leader ===,37739794
Absence in Mind (Jazzaway),1,11,== Discography == | === As band leader ===,37739794
2006:,0,12,== Discography == | === As band leader ===,37739794
First Communion (Jazzaway),1,12,== Discography == | === As band leader ===,37739794
2018,0,13,== Discography == | === As band leader ===,37739794
Shakin' Our Souls ((Ozella) http://www.ozellamusic.com/en/release/shakin-our-souls-4/Within FAQ (Fossum-Aarum Quartet),1,13,== Discography == | === As band leader ===,37739794
2007:,0,14,== Discography == | === As band leader ===,37739794
"Frequently Asked Questions (Schmell), recorded in 2004",1,14,== Discography == | === As band leader ===,37739794
===,0,15,== Discography == | === Collaborations ===,37739794
Collaborations ===,1,15,== Discography == | === Collaborations ===,37739794
Within Funky Butt,0,16,== Discography == | === Collaborations ===,37739794
2001: Whoopin'  (Sonor),0,17,== Discography == | === Collaborations ===,37739794
2002:,0,18,== Discography == | === Collaborations ===,37739794
The Glove (Sonor),1,18,== Discography == | === Collaborations ===,37739794
2005:,0,19,== Discography == | === Collaborations ===,37739794
Big Mama (Schmell),1,19,== Discography == | === Collaborations ===,37739794
2007:,0,20,== Discography == | === Collaborations ===,37739794
Shakin' da butt (Schmell)Within Jazzmob,1,20,== Discography == | === Collaborations ===,37739794
2001:,0,21,== Discography == | === Collaborations ===,37739794
Pathfinder,1,21,== Discography == | === Collaborations ===,37739794
2006: Flashbackrecorded live at Moldejazz 2006Within,0,22,== Discography == | === Collaborations ===,37739794
The Swing Pack,1,22,== Discography == | === Collaborations ===,37739794
2001:,0,23,== Discography == | === Collaborations ===,37739794
The Sinatra Songbook (Island),1,23,== Discography == | === Collaborations ===,37739794
2003:,0,24,== Discography == | === Collaborations ===,37739794
Urban Breeze (Tylden & Co)With Sonny Simmons,1,24,== Discography == | === Collaborations ===,37739794
2005:,0,25,== Discography == | === Collaborations ===,37739794
The Traveller (Jazzaway),1,25,== Discography == | === Collaborations ===,37739794
2006:,0,26,== Discography == | === Collaborations ===,37739794
I'll See You When I Get There (Jazzaway),1,26,== Discography == | === Collaborations ===,37739794
2007:,0,27,== Discography == | === Collaborations ===,37739794
Last Man Standing (Jazzaway)With Hilde Louise Asbjørnsen,1,27,== Discography == | === Collaborations ===,37739794
2005: Birdie Blues (Upnorth Discs),0,28,== Discography == | === Collaborations ===,37739794
2008:,0,29,== Discography == | === Collaborations ===,37739794
Sound Your Horn (Sweet Morning),1,29,== Discography == | === Collaborations ===,37739794
2010: Never Ever Going Back (Sweet Morning),0,30,== Discography == | === Collaborations ===,37739794
2011: Divin' at the Oceansound (Sweet Morning)With other projects,0,31,== Discography == | === Collaborations ===,37739794
2001:,0,32,== Discography == | === Collaborations ===,37739794
"Violin (Hot Club), with Ola Kvernberg",1,32,== Discography == | === Collaborations ===,37739794
2001:,0,33,== Discography == | === Collaborations ===,37739794
"Song for My Father (Hot Club), with Majken Christiansen",1,33,== Discography == | === Collaborations ===,37739794
"2003: aLive (Hazel Jazz), with Tine Asmundsen – recorded in 2002",0,34,== Discography == | === Collaborations ===,37739794
2003:,0,35,== Discography == | === Collaborations ===,37739794
"Reporter (Hot Club), with Majken Christiansen live at Herr Nilsen Jazzclub",1,35,== Discography == | === Collaborations ===,37739794
2004:,0,36,== Discography == | === Collaborations ===,37739794
Bigbandblast!,1,36,== Discography == | === Collaborations ===,37739794
"(Real), within Børre Dalhaug's ""Bigbandblast""",2,36,== Discography == | === Collaborations ===,37739794
2005:,0,37,== Discography == | === Collaborations ===,37739794
"This Place (Køhn), within Sigurd Køhn Quartet",1,37,== Discography == | === Collaborations ===,37739794
2005:,0,38,== Discography == | === Collaborations ===,37739794
