sentences,sentenceIndex,paragraphIndex,section,wikiId
"Feliciano Amaral (October 20, 1920 – July 7, 2018) was a Brazilian pastor and Christian singer.",0,0,N/A,53069650
== References ==,0,1,== References ==,53069650
