sentences,sentenceIndex,paragraphIndex,section,wikiId
"Michael Christopher Charles ""Mikey"" Graham (born 15 August 1972) is an Irish singer-songwriter, actor and record producer, best known as a member of boy band Boyzone.",0,0,N/A,3502581
In 2010 he was a contestant on Dancing on Ice.,1,0,N/A,3502581
==,0,1,== Early life ==,3502581
Early life ==,1,1,== Early life ==,3502581
"The youngest of seven children, Graham was born to housewife Sheila and carpenter William, and raised on the Northside of Dublin with five older sisters and one older brother.",0,2,== Early life ==,3502581
"He attended Billie Barry Stage School in Dublin and started his life in the public eye at an early age, appearing in television adverts for Mikado biscuits and the Irish Electricity Board, T-Mobile.",1,2,== Early life ==,3502581
"Like his bandmate Shane Lynch, Graham had worked as a mechanic before finding fame as a singer; Lynch has stated in an interview that during the early days of Boyzone, he and Graham had a heated argument over exhaust pipes and hardly spoke to each other for fifteen years.",2,2,== Early life ==,3502581
==,0,3,== Boyzone ==,3502581
Boyzone ==,1,3,== Boyzone ==,3502581
"In 1993, Graham – who had previously been a member of the band Ivory – auditioned for a new boy band which would later be known as Boyzone, singing Meat Loaf's ""Two Out of Three Ain't Bad"".",0,4,== Boyzone ==,3502581
"Although he was not chosen as part of the final line-up, manager Louis Walsh changed his mind after firing two members for their lack of commitment.",1,4,== Boyzone ==,3502581
Graham gained a reputation as 'the quiet one' in the band.,2,4,== Boyzone ==,3502581
"However, despite their success, he felt that Boyzone's pop-styles did not give him a chance to expand his own musical taste which included rock and folk.",3,4,== Boyzone ==,3502581
"(""Creatively and musically, what I wanted to do personally wasn't what was required for the band's product, so that suppression of what I wanted led to low self-esteem."")",4,4,== Boyzone ==,3502581
"Following Boyzone's split in 2000, he sank into depression, but gradually recovered.",5,4,== Boyzone ==,3502581
"During his break from Boyzone, he trained as an actor in America, and studied Music Technology and Sound Production after his solo career as a singer failed.",6,4,== Boyzone ==,3502581
"In 2007, Boyzone reunited, completed a 29-date reunion tour, and released their comeback single on 29 September 2008, Love You Anyway, which was followed by a Greatest Hits album entitled Back Again...",7,4,== Boyzone ==,3502581
No Matter What released on 13 October 2008.,8,4,== Boyzone ==,3502581
"Then he toured with Boyzone in 2009 and a brand new studio album with two singles in 2010, ""Gave It All Away"" and ""Love Is a Hurricane"" were released.",9,4,== Boyzone ==,3502581
In 2011 he joined his band mates to tour in 2011 and again in 2013 with a new album.,10,4,== Boyzone ==,3502581
==,0,5,"== Film, pantomime and television appearances ==",3502581
"Film, pantomime and television appearances ==",1,5,"== Film, pantomime and television appearances ==",3502581
"In 1998, Graham broke into acting when he played Mikey Oprano the leader of a drugs gang in the full length Irish martial arts film Fatal Deviation, a low-budget cult film produced and set in Trim, Meath.",0,6,"== Film, pantomime and television appearances ==",3502581
"Comedy website Cracked.com nominated Fatal Deviation as the worst movie ever made saying; ""you could replace film school with this movie alone--just screening it once for students and asking them to list all the things it did wrong.",1,6,"== Film, pantomime and television appearances ==",3502581
"Anyone who doesn't write ""everything"" instantly fails"".",2,6,"== Film, pantomime and television appearances ==",3502581
"Graham appeared in the 2008 low budget Irish feature film Situations Vacant written by Steve Murray and directed by Lisa Mulcahy who is best known for directing Irish Television drama The Clinic, and was also among the ten Irish actors who appeared on the RTÉ reality show Hollywood TrialsOn the BBC television programme Something for the Weekend, Graham's bandmate Ronan Keating let slip that Graham would be taking part in the fifth series of Dancing on Ice, starting in January 2010.",3,6,"== Film, pantomime and television appearances ==",3502581
"On the show he was paired with professional skater Melanie Lambert, but were voted off on 7 March in a skate-off with Danniella Westbrook and her partner Matt Gonzalez.",4,6,"== Film, pantomime and television appearances ==",3502581
"On participating, Graham has described his training as therapy which has helped him come to terms with the death of his bandmate Stephen Gately, who had participated in the show two years earlier.",5,6,"== Film, pantomime and television appearances ==",3502581
"In February 2010 it was announced that Graham would be participating in Eurosong 2010, Ireland's final to select their Eurovision Song Contest entry.",6,6,"== Film, pantomime and television appearances ==",3502581
"He performed the self-penned song ""Baby, Nothing's Wrong"" on 4 March on RTÉ One, attempting to achieve an eighth victory for Ireland in the competition, but placed second, losing out to Eurovision 1993 winner Niamh Kavanagh.",7,6,"== Film, pantomime and television appearances ==",3502581
In 2013 he appeared in Celebrity Apprentice Ireland on TV3.,8,6,"== Film, pantomime and television appearances ==",3502581
==,0,7,== Discography ==,3502581
Discography ==,1,7,== Discography ==,3502581
===,0,8,== Discography == | === Albums ===,3502581
Albums ===,1,8,== Discography == | === Albums ===,3502581
===,0,9,== Discography == | === Singles ===,3502581
Singles =,1,9,== Discography == | === Singles ===,3502581
==,2,9,== Discography == | === Singles ===,3502581
==,0,10,== References ==,3502581
References ==,1,10,== References ==,3502581
==,0,11,== External links ==,3502581
External links ==,1,11,== External links ==,3502581
Michael Graham at IMDb,0,12,== External links ==,3502581
