sentences,sentenceIndex,paragraphIndex,section,wikiId
"Francisco de Paula Aguirre (October 20, 1875 – 1939) was a Venezuelan composer.",0,0,N/A,5000203
"He wrote many popular waltzes; his most important works include ""Claveles de Galipán"", ""Que bellas son las flores"", ""Dama Antañona"" and the joropo ""Amalia"".",1,0,N/A,5000203
He died in 1939.,2,0,N/A,5000203
==,0,1,== References ==,5000203
References ==,1,1,== References ==,5000203
==,0,2,== External links ==,5000203
External links ==,1,2,== External links ==,5000203
Dama Antañona on YouTube,0,3,== External links ==,5000203
