sentences,sentenceIndex,paragraphIndex,section,wikiId
Stanislav Gribkov is a Russian conductor and artistic director of the Saint Petersburg TV.,0,0,N/A,41743105
In 1964 he became a teacher at the Saint Petersburg State University of Culture and Arts after graduating from the Saint Petersburg Conservatory the same year.,1,0,N/A,41743105
In 1968 he began working at the Saint Petersburg TV and its radio station as well and twenty years later became choir master and artistic director at the same place.,2,0,N/A,41743105
He has conducted over 500 works of various composers and was a winner of numerous international awards.,3,0,N/A,41743105
==,0,1,== References ==,41743105
References ==,1,1,== References ==,41743105
