sentences,sentenceIndex,paragraphIndex,section,wikiId
"Maitri Nicolai, known under her stage name Maitri is a Dutch musician.",0,0,N/A,35040404
==,0,1,== Work ==,35040404
Work ==,1,1,== Work ==,35040404
"Maitri is best known as the bassist, song writer, and female vocalist of the gothic rock band Christian Death.",0,2,== Work ==,35040404
"She joined the band in 1991, taking to the stage for her first performance at the Contemporary Festival, held at the Anfitheatro delle Cascine in Florence, Italy, on 12 July 1991.",1,2,== Work ==,35040404
"Maitri made her studio debut on the compilation album Jesus Points the Bone at You, performing on the new version of the track ""The Nascent Virion"", recorded especially for that collection.",2,2,== Work ==,35040404
Maitri is also the lead vocalist and song writer of the black metal band Lover of Sin.,3,2,== Work ==,35040404
==,0,3,== References ==,35040404
References ==,1,3,== References ==,35040404
