sentences,sentenceIndex,paragraphIndex,section,wikiId
"Félix Lavilla Muñarriz (11 June 1928, Pamplona – 14 January 2013 Madrid) was a Spanish pianist, composer and a well-known accompanist, son of a music teacher and band master of the municipal band of Errenteria in Gipuzkoa, Basque Autonomous Community.",0,0,N/A,746928
"He was perhaps best known for his collaborations with the mezzo-soprano Teresa Berganza, to whom he was married from 1957 to 1977.",1,0,N/A,746928
The couple regularly recorded and gave recitals together.,2,0,N/A,746928
==,0,1,== References ==,746928
References ==,1,1,== References ==,746928
