sentences,sentenceIndex,paragraphIndex,section,wikiId
"Robert N. Cavarra (February 23, 1934 - February 8, 2008) was an American composer, organist, harpsichordist, pianist and musicologist who taught at Colorado State University from 1963 to 2000.",0,0,N/A,60096289
"According to the Denver Post, he was ""a leading participant in the revival of the classical organ tradition in North America.""",1,0,N/A,60096289
==,0,1,== References ==,60096289
References ==,1,1,== References ==,60096289
