sentences,sentenceIndex,paragraphIndex,section,wikiId
Mark-Haydn Griffiths is a British bassist who toured with Neil Innes in his touring ensemble of the fictional Beatles parody the Rutles where he performs Rutles songs and other songs from his career such as his songs from the Bonzo Dog Doo-Dah Band.,0,0,N/A,23348776
He also plays with Cliff Richard's backing band and with the Shadows.,1,0,N/A,23348776
==,0,1,== References ==,23348776
References ==,1,1,== References ==,23348776
==,0,2,== External links ==,23348776
External links ==,1,2,== External links ==,23348776
Mark Griffiths discography at Discogs,0,3,== External links ==,23348776
