sentences,sentenceIndex,paragraphIndex,section,wikiId
"Steven Kapur  (born 11 May 1967), known by the stage name Apache Indian, is a British singer-songwriter and reggae DJ.",0,0,N/A,633326
He had a series of hits during the 1990s.,1,0,N/A,633326
"He is best known in the UK for the song ""Boom Shack-A-Lak"", which reached the top ten during August 1993.",2,0,N/A,633326
== Biography and career,0,1,== Biography and career ==,633326
==,1,1,== Biography and career ==,633326
"Born into a family of Indian origins, Kapur was raised in Handsworth, Birmingham, UK, a racially mixed area with large Black and Asian communities, home of reggae bands such as Steel Pulse, and by the early 1980s he was working with local sound systems and grew dreadlocks.",0,2,== Biography and career ==,633326
By the mid-1980s he had trimmed his hair and began to make a name for himself as a dancehall deejay.,1,2,== Biography and career ==,633326
"Apache recorded his first single in 1990, ""Movie Over India"", initially a white-label pressing, until it was picked up by the reggae distributor Jet Star.",2,2,== Biography and career ==,633326
The single mixed ragga and bhangra sounds and was hugely popular among audiences of both genres.,3,2,== Biography and career ==,633326
"Two further singles followed in a similar vein, ""Chok There"" and ""Don Raja"", bringing him to the attention of the major labels, and in 1992 he signed a recording contract with Island Records.",4,2,== Biography and career ==,633326
"With the collaboration of his cousins Simon & Diamond, he introduced the new hybrid sound of bhangra raggamuffin – also known as bhangramuffin – to the world with his first album No Reservations, recorded in Jamaica and produced by Simon & Diamond, Phil Chill, Robert Livingston, Bobby Digital and Sly Dunbar in 1993.",5,2,== Biography and career ==,633326
"It was followed by Make Way for the Indian (produced by Sly & Robbie, The Press, Mafia & Fluxy, Pandit Dineysh and Chris Lane), which featured rapper Tim Dog and spawned the hit  ""Boom Shack-A-Lak"".",6,2,== Biography and career ==,633326
"By 1997 he parted ways with Island and his next album, ""Real People"" (produced by Harjinder Boparai) was signed and released by Warner Bros. Sweden and proved to be his most experimental album, and also featured more Indian elements than the other albums.",7,2,== Biography and career ==,633326
"During his heyday, in 1996, he roped in to sing and dance for a music video, ""NO PROBLEM"", and also made an appearance in the Tamil film Love Birds, dancing alongside Prabhu Deva.",8,2,== Biography and career ==,633326
"it became a nationwide hit, then he became recognized by many Indian fans.",9,2,== Biography and career ==,633326
"By 2000, Apache had parted ways with Warner; he later signed to US management company Sunset Entertainment Group, which would lead later on 2013 for Apache to collaborate on an album with hit producers Jim Beanz & Charlie Hype (both also signed to Sunset Entertainment Group).",10,2,== Biography and career ==,633326
"Lyrically, Apache Indian usually sings in Jamaican Patois.",0,3,== Biography and career ==,633326
"He has written songs about serious topics, such as ""Arranged Marriage"", ""Aids Warning"", and ""Election Crisis"".",1,3,== Biography and career ==,633326
as well as,2,3,== Biography and career ==,633326
"lighter songs such as ""Boom Shack-A-Lak"", ""Jump Up"", ""Girls Dem Fiyah"", and ""Celebrate"".",3,3,== Biography and career ==,633326
"Apache Indian has recorded with Wreckx 'n' Effect, the United States chart topper Sean Paul, Maxi Priest, General Levy, Brian and Tony Gold, Frankie Paul, Shaggy, Yami Bolo, Boy George, A. R. Rahman, Sameera Singh, Asha Bhosle and Pras of the Fugees, Malkit Singh, and with Jazzy B on the album Dil Luteya, StereoNation, Sasi the Don, Bally Sagoo, Raghav, and Jim Beanz.",0,4,== Biography and career ==,633326
"""Boom Shack-A-Lak"" is featured in several Hollywood movies, including Dumb and Dumber and Dumb and Dumber To.",0,5,== Biography and career ==,633326
"It is also featured on the soundtrack for Scooby-Doo 2: Monsters Unleashed, along with artists such as Fatboy Slim, The B-52's, 2 Unlimited and New Radicals and the movie ""Threesome"".",1,5,== Biography and career ==,633326
"In 2018, he co-hosted the Brit Asia TV Music Awards with Preeya Kalidas.",0,6,== Biography and career ==,633326
"His single ""Om Namaha Shivaya"" features on the Putumayo World Music compilation album, World Reggae which is a collection of reggae tracks performed by artists from around the world.",1,6,== Biography and career ==,633326
"Apache Indian received an Ivor Novello award for best contemporary song for ""Arranged Marriage"" and a Mercury Music Prize for his debut album ""No Reservations"" in 1993.",0,7,== Biography and career ==,633326
Apache Indian was also nominated for the Central Britain Media and Arts Asian Jewel Award in 2004.,1,7,== Biography and career ==,633326
"Apache was presented an award at the Asian Media Awards in Manchester UK for his talk show ""Real Talk"" (popularly featured on Brit Asia TV) in 2013 and in 2014 he received the Lifetime Achievement Award also at the Asian Media Awards.",2,7,== Biography and career ==,633326
"In late 2014, Apache closed the year with a lifetime achievement award from Brit Asia TV.",3,7,== Biography and career ==,633326
"Apache Indian did a limited release of his album ""It Is What It Is"" (IiWiI) in the fall of 2013 on Universal India.",4,7,== Biography and career ==,633326
"The album's first single ""Celebrate"" was a collaboration with Canadian pop singer Raghav and producer Jim Beanz.",5,7,== Biography and career ==,633326
"The album was written and recorded in Philadelphia at the Sunset Entertainment Group headquarters, featuring production from Jim Beanz, Charlie Hype, TroyBoi and J. Nick.",6,7,== Biography and career ==,633326
He was awarded the British Empire Medal (BEM) in the 2021 New Year Honours for services to music and young people.,0,8,== Biography and career ==,633326
==,0,9,== Apache Indian Music Academy ==,633326
Apache Indian Music Academy ==,1,9,== Apache Indian Music Academy ==,633326
"In November 2013, Apache Indian opened the Apache Indian Music Academy at South and City College, in his hometown of Handsworth.",0,10,== Apache Indian Music Academy ==,633326
==,0,11,== Awards ==,633326
Awards ==,1,11,== Awards ==,633326
Best Newcomer British Reggae Industry Awards 1990,0,12,== Awards ==,633326
UK Asian Music Awards – Best International Success 2003,0,13,== Awards ==,633326
UK Asian Music Awards – Outstanding Achievement 2005,0,14,== Awards ==,633326
UK Asian Music Awards – Lifetime Achievement Award 2011,0,15,== Awards ==,633326
Brit Asia TV Music Awards - Lifetime Achievement Award 2014,0,16,== Awards ==,633326
==,0,17,== Discography ==,633326
Discography ==,1,17,== Discography ==,633326
Apache Indian has sold over 11 million albums worldwide over a career spanning 30 years.,0,18,== Discography ==,633326
===,0,19,== Discography == | === Albums ===,633326
Albums ===,1,19,== Discography == | === Albums ===,633326
1993,0,20,== Discography == | === Albums ===,633326
No Reservations UK No. 36,1,20,== Discography == | === Albums ===,633326
"1995 Make Way for the Indian (Island/Universal Music UK) - featured big worldwide hit ""Boom Shack-A-Lak""",0,21,== Discography == | === Albums ===,633326
1997 Real People / Wild East (Warners Sweden/Sunset Records),0,22,== Discography == | === Albums ===,633326
2000 Karma,0,23,== Discography == | === Albums ===,633326
2005 Time for Change,0,24,== Discography == | === Albums ===,633326
2007 Sadhu – The Movement (TIPS Music India),0,25,== Discography == | === Albums ===,633326
2012 Home Run (Universal Music India),0,26,== Discography == | === Albums ===,633326
2013 It Is What It Is (Universal Music India/Sunset Entertainment Group),0,27,== Discography == | === Albums ===,633326
2016 EP (Sunset Entertainment Group),0,28,== Discography == | === Albums ===,633326
2017 in Ja...(Sunset/Universal India),0,29,== Discography == | === Albums ===,633326
2018,0,30,== Discography == | === Albums ===,633326
On the Weekend (Sunset Ent.),1,30,== Discography == | === Albums ===,633326
2020 What's not to love?,0,31,== Discography == | === Albums ===,633326
(Sunset Entertainment Group),1,31,== Discography == | === Albums ===,633326
===,0,32,== Discography == | === Singles and EPs ===,633326
Singles and EPs,1,32,== Discography == | === Singles and EPs ===,633326
=,2,32,== Discography == | === Singles and EPs ===,633326
==,3,32,== Discography == | === Singles and EPs ===,633326
Other Singles:,0,33,== Discography == | === Singles and EPs ===,633326
"1992 ""Fe' Real"" UK No. 33 (Maxi Priest Featuring Apache Indian)",0,34,== Discography == | === Singles and EPs ===,633326
"1994 ""Music Relief"" Charity Single No. 12",0,35,== Discography == | === Singles and EPs ===,633326
"1994 ""Wrecxx Shop"" UK No. 26 (Wreckx-N-Effect Featuring Apache Indian)",0,36,== Discography == | === Singles and EPs ===,633326
"2005 ""ROMEO"" (JINE MERA DIL LUTEYA FEAT APACHE INDIAN/JAZZY B)",0,37,== Discography == | === Singles and EPs ===,633326
"2006 ""Teriyan Adawaan"" (Preet Harpal)",0,38,== Discography == | === Singles and EPs ===,633326
"2007 ""Ground Shaker 2"" (Kudi Dekhi Lagdi by Aman Hayer)",0,39,== Discography == | === Singles and EPs ===,633326
"2012 ""Gabroo"" (Miss Pooja)",0,40,== Discography == | === Singles and EPs ===,633326
"2013 ""Run Run"" (Telugu song composed by Devi Sri Prasad for Iddarammayilatho)",0,41,== Discography == | === Singles and EPs ===,633326
"2013 ""Celebrate"" featuring Raqhav (Produced by Jim Beanz)",0,42,== Discography == | === Singles and EPs ===,633326
"2014 ""Kakinada Kaaja"" (Telugu song composed by A. R Bochukrishna for Rasagulla)",0,43,== Discography == | === Singles and EPs ===,633326
"2015 ""Dil Legi"" Fran & Nash Featuring APACHE INDIAN",0,44,== Discography == | === Singles and EPs ===,633326
"2015 ""Pagal Jiya"" with Sheeba Khan",0,45,== Discography == | === Singles and EPs ===,633326
"2015 ""Election Crisis"" (Produced by Charlie Hype)",0,46,== Discography == | === Singles and EPs ===,633326
"2015 ""Pretty Baby"" with StereoNation and Bally Sagoo",0,47,== Discography == | === Singles and EPs ===,633326
"2016 ""Snake and a Loser"" (Adot)",0,48,== Discography == | === Singles and EPs ===,633326
Featuring Apache Indian,1,48,== Discography == | === Singles and EPs ===,633326
"2017 ""Mariana""",0,49,== Discography == | === Singles and EPs ===,633326
==,0,50,== References ==,633326
References ==,1,50,== References ==,633326
==,0,51,== External links ==,633326
External links ==,1,51,== External links ==,633326
Apache Indian at AllMusic,0,52,== External links ==,633326
Apache Indian discography at Discogs,0,53,== External links ==,633326
Apache Indian interview at Solid Pulse,0,54,== External links ==,633326
Apache Indian chart hits at UK Official Charts,0,55,== External links ==,633326
"Apache Indian interview at Vh1 India, 2013",0,56,== External links ==,633326
Apache Indian entry at Trouser Press,0,57,== External links ==,633326
