sentences,sentenceIndex,paragraphIndex,section,wikiId
Leif Uvemark (1939–1996) was a Swedish trumpeter and conductor of Leif Uvemark Bigband.,0,0,N/A,47067683
"Born in Malmö in 1939, he played in the NDR Bigband in Hamburg for several years and with James Last orchestra 1969-1975.",1,0,N/A,47067683
==,0,1,== External links ==,47067683
External links ==,1,1,== External links ==,47067683
www.uvemark.se in Swedish,0,2,== External links ==,47067683
