sentences,sentenceIndex,paragraphIndex,section,wikiId
"Gabriela Pizarro (1932–1999) was a noted Chilean folklorist, researcher, teacher and songwriter.",0,0,N/A,33799123
"She is considered one of the three essential researchers of Chilean folklore, along with Violeta Parra and Margot Loyola.",1,0,N/A,33799123
==,0,1,== References ==,33799123
References ==,1,1,== References ==,33799123
