paragraph,paragraphIndex,section
"Steve Nelson (born August 11, 1954) is an American jazz vibraphonist and marimba player. In addition to his solo work, Nelson is known for collaborating since the 1990s with bassist Dave Holland's Quintet and Big Band.
",0,N/A
"Nelson graduated from Rutgers University with both master's and bachelor's degrees in music, and his teaching activities have included a position at Princeton University. He has appeared at concerts and festivals worldwide and has made recordings as the leader of his own group. He has performed and recorded with Kenny Barron, Bobby Watson, Mulgrew Miller, David ""Fathead"" Newman, Johnny Griffin, and Jackie McLean.
",1,N/A
"== Discography ==
",2,== Discography ==
"=== As leader ===
",3,== Discography == | === As leader ===
"Full Nelson (Sunnyside 1990)
",4,== Discography == | === As leader ===
"Communications (Criss Cross 1990)
",5,== Discography == | === As leader ===
"Sound-Effect (HighNote, 2007)
",6,== Discography == | === As leader ===
"Stratocluster with Bruno Vansina (W.E.R.F. 2012)
",7,== Discography == | === As leader ===
"Brothers Under the Sun (HighNote, 2017)
",8,== Discography == | === As leader ===
"=== As sideman ===
",9,== Discography == | === As sideman ===
"With Dave Holland
",10,== Discography == | === As sideman ===
"Dream of the Elders (ECM, 1995)
",11,== Discography == | === As sideman ===
"Points of View (ECM,1997)
",12,== Discography == | === As sideman ===
"Prime Directive (ECM, 1998)
",13,== Discography == | === As sideman ===
"Not for Nothin' (ECM, 2000)
",14,== Discography == | === As sideman ===
"What Goes Around (ECM, 2002)
",15,== Discography == | === As sideman ===
"Extended Play: Live at Birdland (ECM, 2003)
",16,== Discography == | === As sideman ===
"Overtime (Dare2, 2005)
",17,== Discography == | === As sideman ===
"Critical Mass (Dare2, 2006)
",18,== Discography == | === As sideman ===
"Pathways (Dare2, 2010)With David ""Fathead"" Newman
",19,== Discography == | === As sideman ===
"Still Hard Times (Muse, 1982)
",20,== Discography == | === As sideman ===
"Heads Up (Atlantic, 1987)
",21,== Discography == | === As sideman ===
"Fire! Live at the Village Vanguard (Atlantic, 1989)
",22,== Discography == | === As sideman ===
"I Remember Brother Ray (HighNote, 2005)
",23,== Discography == | === As sideman ===
"Life (HighNote, 2007)
",24,== Discography == | === As sideman ===
"The Blessing (HighNote, 2009)With others
",25,== Discography == | === As sideman ===
"Kenny Barron, Golden Lotus (Muse, 1982)
",26,== Discography == | === As sideman ===
"Donald Brown, People Music (Muse, 1990)
",27,== Discography == | === As sideman ===
"Cyrus Chestnut, There's a Sweet, Sweet Spirit (HighNote, 2017)
",28,== Discography == | === As sideman ===
"Billy Drummond, Native Colours (Criss Cross, 1992)
",29,== Discography == | === As sideman ===
"Ray Drummond, Continuum (Arabesque, 1994)
",30,== Discography == | === As sideman ===
"Geoff Keezer, Trio (Sackville, 1993)
",31,== Discography == | === As sideman ===
"Jonny King, Notes from the Underground (Enja, 1996)
",32,== Discography == | === As sideman ===
"Mulgrew Miller, Wingspan (Landmark, 1987)
",33,== Discography == | === As sideman ===
"Mulgrew Miller, Hand in Hand (Novus, 1992)
",34,== Discography == | === As sideman ===
"Houston Person, The Melody Lingers On (HighNote, 2014)
",35,== Discography == | === As sideman ===
"Houston Person, Something Personal (HighNote, 2015)
",36,== Discography == | === As sideman ===
"Chris Potter, Imaginary Cities (ECM, 2015)
",37,== Discography == | === As sideman ===
"James Spaulding, James Spaulding Plays the Legacy of Duke Ellington (Storyville, 1977)
",38,== Discography == | === As sideman ===
"Chip White, Harlem Sunset (Postcards)
",39,== Discography == | === As sideman ===
"== References ==
",40,== References ==
"== External links ==
",41,== External links ==
Steve Nelson: Vibing,42,== External links ==
