paragraph,paragraphIndex,section
"Derrick Simmons is an American actor, film director, producer, stunt artist, music producer and entrepreneur.
",0,N/A
"== Early life ==
",1,== Early life ==
"Derrick Simmons was born in Queens, New York. He attended Harbor JHS of Performing Arts in Harlem, New York and later attended Talent Unlimited High School where he majored in drama.
",2,== Early life ==
"== Career ==
",3,== Career ==
"Derrick Simmons started his acting career at age 10 by appearing in a National Burger King commercial where he appeared opposite Stacey Dash.
",4,== Career ==
"As a stuntman has performed in more than 175 films. He wrote, produced and directed three films, and as an actor he has performed in around 40 titles.
",5,== Career ==
"=== Main works ===
",6,== Career == | === Main works ===
"Simmons has worked as actor and stuntman in various television programs such as Law & Order, New York Undercover, The Wire, Third Watch, Oz, Hack, The Sopranos, Law & Order SVU, The David Letterman Show, Saturday Night Live, 30 Rock, The Good Wife, Orange is the New Black, House of Cards. Some of Simmons's feature film credits include Deja Vu, American Gangster, A Bonx Tale, Tower Heist, Ray (where he stunt doubled Jamie Foxx as Ray Charles), Spike Lee's Inside Man, Precious, Find Me Guilty, The Purge: Election Year and Teenage Mutant Ninja Turtles.
",7,== Career == | === Main works ===
"==== Film production ====
",8,== Career == | ==== Film production ====
"Derrick Simmons production company Derrick Simmons Film Works has produced three feature film titles. Jump Offs (2007), Women Do it Better (2009) and Nobody's Perfect (2016), hosted by Cannes World Cinema Initiative.
",9,== Career == | ==== Film production ====
"=== Music production ===
",10,== Career == | === Music production ===
"Derrick is CEO of Phat Tune Recording.
",11,== Career == | === Music production ===
"=== Awards and recognitions ===
",12,== Career == | === Awards and recognitions ===
"Simmons won the best feature film award at the Mt Vernon Film Festival and the best director award at Pocono Mountains Film Festival. In 2016 he was nominated as a member of the stunts crew of The Blacklist in the category Outstanding Action Performance by a Stunt Ensemble in a Television Series in the Screen Actors Guild Awards.
",13,== Career == | === Awards and recognitions ===
"== References ==
",14,== References ==
"== External links ==
",15,== External links ==
"Official Website of Derrick Simmons
",16,== External links ==
Derrick Simmons at IMDb,17,== External links ==
