paragraph,paragraphIndex,section
"Hugh Ragin is an American jazz trumpeter.
",0,N/A
"== Career ==
",1,== Career ==
"Ragin was born in Honolulu, Hawaii and raised in Houston, Texas, and began playing trumpet in his early teens, taking lessons in classical music, and was a member of the Houston All-City High School Orchestra. He received a degree in music education from the University of Houston and a degree in classical trumpet performance from Colorado State University. He continued his education in 1978 at the Creative Music Studio with Roscoe Mitchell. One year later he performed with Mitchell, Wadada Leo Smith, and the Creative Orchestra at the Moers Festival in Germany. He then toured with Anthony Braxton. During the early 1980s he toured with jazz trumpeter Maynard Ferguson. He began an association with David Murray, becoming a member of Murray's band in the 1980s.
",2,== Career ==
"== Discography ==
",3,== Discography ==
"=== As leader ===
",4,== Discography == | === As leader ===
"Metaphysical Question (Cecma, 1989)
",5,== Discography == | === As leader ===
"Gallery (CIMP, 1998)
",6,== Discography == | === As leader ===
"An Afternoon in Harlem (Justin Time, 1999)
",7,== Discography == | === As leader ===
"Fanfare & Fiesta (Justin Time, 2001)
",8,== Discography == | === As leader ===
"Back to Saturn (Black Saint, 2001)
",9,== Discography == | === As leader ===
"Feel the Sunshine (Justin Time, 2002)
",10,== Discography == | === As leader ===
"Sound Pictures for Solo Trumpet (Hopscotch, 2002)
",11,== Discography == | === As leader ===
"Revelation (Justin Time, 2004)
",12,== Discography == | === As leader ===
"=== As sideman ===
",13,== Discography == | === As sideman ===
"With Anthony Braxton
",14,== Discography == | === As sideman ===
"Composition 98 (hat ART, 1981)With John Lindberg
",15,== Discography == | === As sideman ===
"Dimension 5 (Black Saint, 1981)With Roscoe Mitchell
",16,== Discography == | === As sideman ===
"Snurdy McGurdy and Her Dancin' Shoes (Nessa, 1981)
",17,== Discography == | === As sideman ===
"3 x 4 Eye (Black Saint, 1981)
",18,== Discography == | === As sideman ===
"Live at the Knitting Factory (Black Saint, 1987)
",19,== Discography == | === As sideman ===
"Nine to Get Ready (ECM, 1997)
",20,== Discography == | === As sideman ===
"Duets with Tyshawn Sorey and Special Guest Hugh Ragin (Wide Hive, 2013)
",21,== Discography == | === As sideman ===
"Bells for the South Side (ECM, 2017)
",22,== Discography == | === As sideman ===
"and the Art Ensemble of Chicago: We Are On The Edge (A 50th Anniversary Celebration) (Pi, 2019)With David Murray
",23,== Discography == | === As sideman ===
"New Life (Black Saint, 1985)
",24,== Discography == | === As sideman ===
"Hope Scope (Black Saint, 1987)
",25,== Discography == | === As sideman ===
"Remembrances (DIW, 1990)
",26,== Discography == | === As sideman ===
"David Murray Big Band (DIW/Columbia, 1991)
",27,== Discography == | === As sideman ===
"South of the Border (DIW, 1992)
",28,== Discography == | === As sideman ===
"Picasso (DIW, 1993)
",29,== Discography == | === As sideman ===
"Dark Star: The Music of the Grateful Dead (Astor Place, 1996)
",30,== Discography == | === As sideman ===
"Fo Deuk Revue (Justin Time, 1996)
",31,== Discography == | === As sideman ===
"Speaking in Tongues (Justin Time, 1997)
",32,== Discography == | === As sideman ===
"Octet Plays Trane (Justin Time 1999)
",33,== Discography == | === As sideman ===
"Yonn-Dé (Justin Time, 2001)
",34,== Discography == | === As sideman ===
"Now Is Another Time (Justin Time, 2003)
",35,== Discography == | === As sideman ===
"With Fred Wesley:
",36,== Discography == | === As sideman ===
"•Comme ci comme ça (1991)[1]
",37,== Discography == | === As sideman ===
"•Swing and be funky (1993)[2]
",38,== Discography == | === As sideman ===
== References ==,39,== References ==
