paragraph,paragraphIndex,section
"Patricia Margaret Bell (née Simpson, 8 April 1931 – 3 August 2005) professionally known as Paddie Bell, was a Scottish folk singer and musician, born in Ireland.
",0,N/A
"== Biography ==
",1,== Biography ==
"Bell was born as Patricia Margaret Simpson, in Belfast, Northern Ireland, but was a resident of Edinburgh, Scotland for most of her life. She sang with The Corrie Folk Trio from 1962 to 1965. The band later became The Corries after she left because she wanted to perform different songs from the ones the Trio sang. She pursued a solo career after this, releasing an album called Herself.
",2,== Biography ==
"She returned to the Scottish folk scene in the 1990s, recorded two CDs, was a regular at Edinburgh Folk Club and had her own celebrated show in the Edinburgh Festival, as well as appearing at Festival Folk at the Oak.
",3,== Biography ==
"She married architect Sandy Bell of Blairgowrie in 1957 and had a daughter Morven in 1966, an oboist and woodwind teacher.
",4,== Biography ==
"== Solo albums ==
",5,== Solo albums ==
"1965 – Herself (with Martin Carthy)
",6,== Solo albums ==
"1968 – I Know Where I'm Going (with Finbar and Eddie Furey)
",7,== Solo albums ==
"1993 – The Dawn of a Brand New Day
",8,== Solo albums ==
"1997 – Make me Want to Stay
",9,== Solo albums ==
"1998 – An Irish Kiss
",10,== Solo albums ==
"== References ==
",11,== References ==
"== External links ==
",12,== External links ==
"Corrie Folk Trio
",13,== External links ==
Paddie Bell,14,== External links ==
