paragraph,paragraphIndex,section
"Ruggiero Ricci (24 July 1918 – 5 August 2012) was an American violinist known for performances and recordings of the works of Paganini.
",0,N/A
"== Biography ==
",1,== Biography ==
"He was born in San Bruno, California, the son of Italian immigrants who first named him Woodrow Wilson Rich. His brother was cellist George Ricci (1923–2010), originally named George Washington Rich . His sister Emma played violin with the New York Metropolitan Opera. His father first taught him to play the violin. At age seven, Ricci studied with Louis Persinger and Elizabeth Lackey. Persinger would become his piano accompanist for many recitals and recordings.
",2,== Biography ==
"Ricci gave his first public performance in 1928 at the age of 10 in San Francisco where he played works by Wieniawski and Vieuxtemps. He gained a reputation for being a child prodigy. At the age of 11, he gave his first orchestral performance, playing the Mendelssohn concerto, and soon after he had his highly successful debut at Carnegie Hall.
",3,== Biography ==
"In the 1930s Ricci studied in Berlin with Georg Kulenkampff, where he learned a ""German style"" of playing in the tradition of Adolf Busch. He also studied with Mishel Piastro and Paul Stassevich.
",4,== Biography ==
"He served in the US Army from 1942 until 1945, where he was an ""entertainment specialist"".
",5,== Biography ==
"In 1947, Ricci was the first violinist to record the complete 24 Caprices, Op. 1, by Paganini, in their original form. Ricci's first recording was on the Decca recording label. After his time in the military, he uncovered many pieces by 19th-century composers that he would perform solo. He also performed the world premieres of pieces by many contemporary composers, including the violin concertos by Gottfried von Einem, Carlos Veerhoff and Alberto Ginastera.
",6,== Biography ==
"Aside from performing over 6,000 concerts in 65 countries during his 70-year solo career, Ricci also made over 500 recordings, on every major label. He taught violin at Indiana University, the Juilliard School and the University of Michigan. He also taught at the University Mozarteum in Salzburg, Austria. Ricci held master classes in the United States and Europe. He wrote Left Hand Technique, a pedagogical volume for violin published by G. Schirmer.
",7,== Biography ==
"Ricci owned many precious instruments, including the Guarneri Del Gesù violin known as the ex-Bronisław Huberman of 1734, a Storioni, a Luiz Bellini, a Curtin & Alf, a David Bague and a couple of Regazzi. He played, on September 18, 1997, his fourth recording of the Paganini Caprices on Paganini's own Guarneri, Il Cannone, on loan to him by the City of Genoa, Italy. Ricci died of heart failure in August 2012 at his home in Palm Springs, California, aged 94.
",8,== Biography ==
"== Selected performances ==
",9,== Selected performances ==
"With the aim of showcasing great masterpieces of violin concerto repertoire, Ricci, accompanied by members of the American Symphony Orchestra, performed 15 concertos over a series of four concerts at Lincoln Center's Philharmonic Hall, all in a span of 30 days, under a different conductor each time.
",10,== Selected performances ==
"17 November 1964, Gerhard Samuel (1925–2008), conductor
",11,== Selected performances ==
"Bach – Violin Concerto in E major
",12,== Selected performances ==
"Mendelssohn – Violin Concerto
",13,== Selected performances ==
"Hindemith – Kammermusik No. 4
",14,== Selected performances ==
"Prokofieff – Violin Concerto No. 2
",15,== Selected performances ==
"1 December 1964, Ezra Rachlin, conductor
",16,== Selected performances ==
"Mozart – Violin Concerto No. 5
",17,== Selected performances ==
"Bartók – Violin Concerto No. 2
",18,== Selected performances ==
"Tchaikovsky – Violin Concerto
",19,== Selected performances ==
"8 December 1964, Jacques Singer, conductor
",20,== Selected performances ==
"Paganini – Violin Concerto No. 1
",21,== Selected performances ==
"Stravinsky – Violin Concerto
",22,== Selected performances ==
"Brahms – Violin Concerto
",23,== Selected performances ==
"16 December 1964, Igor Buketoff, conductor
",24,== Selected performances ==
"Vivaldi – Four Seasons (counts as 4 concertos)
",25,== Selected performances ==
"Beethoven – Violin ConcertoRicci reunited with Singer in Portland with the Oregon Symphony, and performed the Paganini, Stravinsky, and Brahms Concertos.
",26,== Selected performances ==
"== Paganini Caprices recordings ==
",27,== Paganini Caprices recordings ==
"Ricci made the first complete recording of the 24 Caprices in their original version in 1947 in London. Ricci later made further recordings of the complete set, as stated below:
",28,== Paganini Caprices recordings ==
"1947 | 2LPs | Decca LK.4025, Nos. 1–12; LXT.2588, Nos. 13–24 mono; 1950 reprint | 2LPs | London Decca LL.264, Nos. 1–12; LL.252, Nos. 13–24, mono (London, July 1947)
",29,== Paganini Caprices recordings ==
"1959 | LP | Decca LXT.5569 mono / SXL.2194 stereo (Victoria Hall, Geneva, 1–9 April 1959)
",30,== Paganini Caprices recordings ==
"1973 | LP | Vox Turnabout TV-S 34528 | plus premiere recording of Caprice d'adieu in E major, MS 68 (USA, 1973)
",31,== Paganini Caprices recordings ==
"1978 | 2LP | Price-Less C–93042 (CD reprint: Price-Less D12179) | ""Golden Jubilee"" – recorded direct-to-disc at Soundstage Recording Studio, Toronto, Canada | plus Caprice d'adieu in E major, MS 68 plus Duo merveille in C major, MS 6 (Toronto, 1978)
",32,== Paganini Caprices recordings ==
"1988 | CD | Radio Vaticana 061–003 / Biddulph LAW 016 | performed on Paganini's Guarneri del Gesù ""Il Cannone"" (Genova, 16–20 April 1988)
",33,== Paganini Caprices recordings ==
"1998 | CD | Dynamic CDS244 | 80th Birthday Concert, live in Szeged Synagogue, Hungary | version for violin and orchestra by Laszlo Meszlény (Nos. 1–23) and Chris Nicholls (No. 24), based on the piano accompaniment composed by Robert Schumann (Hungary, 17 May 1998)
",34,== Paganini Caprices recordings ==
"1982 | LaserDisc-NTSC | One Eleven, Ltd. URS-V-91610 | 69 mins. | BBC Scotland, Live television performance (p)1991
",35,== Paganini Caprices recordings ==
"1987 | VHS-NTSC | Shar Products Company RR–1 (Michigan University, 10 January 1987) | unedited performance
",36,== Paganini Caprices recordings ==
"== References ==
",37,== References ==
"Notes
",38,== References ==
"Sources
",39,== References ==
"== External links ==
",40,== External links ==
"Ruggiero Ricci at IMDb
",41,== External links ==
"Ruggiero Ricci, aged 12 on YouTube, La campanella (Rondo from Paganini's Violin Concerto No. 2)
",42,== External links ==
"Ruggiero Ricci at Find a Grave)
",43,== External links ==
(https://www.histclo.com/act/music/pro/ind/r/pro-riccir.html Child Musical Prodigies: Ruggiero Ricci ),44,== External links ==
