paragraph,paragraphIndex,section
"Roma Mae ""Golden"" Cañedo Apa-ap (born April 5, 2002) is a Filipino singer, actress, and performer. She is the first grand winner of The Clash. Right after winning the said reality-singing competition, Golden joined the cast of the late-night musical-variety show of GMA Network, Studio 7, in 2018. She is currently among the mainstay performers of the Sunday musical program All-Out Sundays. She is the ""Ballad Princess"" of her generation.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Singles ===
",2,== Discography == | === Singles ===
"== Filmography ==
",3,== Filmography ==
"=== Television ===
",4,== Filmography == | === Television ===
"==== Television show ====
",5,== Filmography == | ==== Television show ====
"==== Television guesting ====
",6,== Filmography == | ==== Television guesting ====
== References ==,7,== References ==
