paragraph,paragraphIndex,section
"Jimmy Ray Johnson (February 4, 1943 – September 5, 2019) was an American session guitarist and record producer. Johnson was a member of the Muscle Shoals Rhythm Section who was attached to FAME Studios in Muscle Shoals, Alabama, for a period in the 1960s. In 1969, with the backing of Atlantic Records executive Jerry Wexler, Johnson became a co-founder of the Muscle Shoals Sound Studio, along with drummer Roger Hawkins, bassist David Hood, and keyboardist Barry Beckett. The studio was originally located at 3614 Jackson Highway in Sheffield and later moved to 1000 Alabama Avenue, also in Sheffield. Johnson performed with Wilson Pickett and Aretha Franklin. He also engineered three tracks on the Rolling Stones' album Sticky Fingers. He died from kidney failure in 2019 at the age of 76.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== 1960s ===
",2,== Discography == | === 1960s ===
"""Searching for My Love"", Bobby Moore and the Rhythm Aces (1965)
",3,== Discography == | === 1960s ===
"""Road Runner"", the Gants (1965)
",4,== Discography == | === 1960s ===
"Sweet Soul Music (LP, 45), Arthur Conley (1966)
",5,== Discography == | === 1960s ===
"""When a Man Loves a Woman"" (45), Percy Sledge (1966)
",6,== Discography == | === 1960s ===
"""Too Weak to Fight"" (45), Clarence Carter (1966)
",7,== Discography == | === 1960s ===
"The Exciting Wilson Pickett (LP), Wilson Pickett (1966)
",8,== Discography == | === 1960s ===
"""Land of a Thousand Dances"" (45), Wilson Pickett (1966)
",9,== Discography == | === 1960s ===
"""Mustang Sally"" (45), Wilson Pickett (1966)
",10,== Discography == | === 1960s ===
"""Do Right Woman, Do Right Man"" (45), Aretha Franklin (1966)
",11,== Discography == | === 1960s ===
"I Never Loved a Man (The Way I Love You) (LP, 45), Aretha Franklin (1966)
",12,== Discography == | === 1960s ===
"""I'm Your Puppet"" (45) James & Bobby Purify (1967)
",13,== Discography == | === 1960s ===
"""Shake, Rattle and Roll"" (45). Arthur Conley (1967)
",14,== Discography == | === 1960s ===
"King Curtis Plays the Great Memphis Hits (LP), King Curtis (1967)
",15,== Discography == | === 1960s ===
"Dreamer (LP), Patti LaBelle and the Bluebells (1967)
",16,== Discography == | === 1960s ===
"Aretha Arrives (LP), Aretha Franklin (1967)
",17,== Discography == | === 1960s ===
"""The House That Jack Built"" (45), Aretha Franklin (1967)
",18,== Discography == | === 1960s ===
"""Since You've Been Gone"" (45), Aretha Franklin (1967)
",19,== Discography == | === 1960s ===
"""Respect"" (45), Aretha Franklin (1967)
",20,== Discography == | === 1960s ===
"""Baby I Love You"" (45), Aretha Franklin (1967)
",21,== Discography == | === 1960s ===
"""Slip Away"" (45), Clarence Carter (1967)
",22,== Discography == | === 1960s ===
"The Uniques (LP), Joe Stampley & the Uniques (1967)
",23,== Discography == | === 1960s ===
"""I'd Rather Be an Old Man's Sweetheart Than a Young Man's Fool"" (45), Candi Staton (1967)
",24,== Discography == | === 1960s ===
"Lady Soul (LP), Aretha Franklin (1968)
",25,== Discography == | === 1960s ===
"Tell Mama, Etta James (1968)
",26,== Discography == | === 1960s ===
"Aretha Now (LP), Aretha Franklin (1968)
",27,== Discography == | === 1960s ===
"""See Saw"" (45), Aretha Franklin (1968)
",28,== Discography == | === 1960s ===
"""Think"" (45), Aretha Franklin (1968)
",29,== Discography == | === 1960s ===
"This Is Clarence Carter (LP), Clarence Carter (1968)
",30,== Discography == | === 1960s ===
"""Take Time to Know Her"" (45), Percy Sledge (1968)
",31,== Discography == | === 1960s ===
"Mourning in the Morning (LP, 45), Otis Rush (1969)
",32,== Discography == | === 1960s ===
"More Sweet Soul Music (LP), Arthur Conley (1969)
",33,== Discography == | === 1960s ===
"Aretha's Gold (LP), Aretha Franklin (1969)
",34,== Discography == | === 1960s ===
"Testifyin' (LP, 45), Clarence Carter (1969)
",35,== Discography == | === 1960s ===
"3614 Jackson Highway (LP), Cher (1969)
",36,== Discography == | === 1960s ===
"Hey Jude (LP, 45), Wilson Pickett (1969)
",37,== Discography == | === 1960s ===
"""Loan Me a Dime"" (45), Boz Scaggs (1969)
",38,== Discography == | === 1960s ===
"Boz Scaggs (LP), Boz Scaggs (1969)
",39,== Discography == | === 1960s ===
"Glass Onion (LP-45) Arif Mardin (1969)
",40,== Discography == | === 1960s ===
"""Take a Letter Maria"" (45), R. B. Greaves (1969)
",41,== Discography == | === 1960s ===
"=== 1970s ===
",42,== Discography == | === 1970s ===
