paragraph,paragraphIndex,section
"Gastón Guzmán Muñoz (c. 1937 - August 28, 2019) was a Chilean singer-songwriter. A native of Angol, Chile, he was a founder, with his brother Eduardo (1940-2012), of the Chilean musical group, Quelentaro. Quelentaro recorded approximately 20 albums, telling stories, usually in the first person perspective, about the lives of workers, peasants, students, women, and settlers. In 2015, he was honored with the designation as a fundamental figure of Chilean music.
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Quelentaro albums ===
",2,== Discography == | === Quelentaro albums ===
"1967 - Coplas al viento
",3,== Discography == | === Quelentaro albums ===
"1968 - Huella campesina
",4,== Discography == | === Quelentaro albums ===
"1969 - Leña gruesa
",5,== Discography == | === Quelentaro albums ===
"1969 - Coplas libertarias a la historia de Chile, Vol.1
",6,== Discography == | === Quelentaro albums ===
"1970 - Judas
",7,== Discography == | === Quelentaro albums ===
"1972 - Cesante
",8,== Discography == | === Quelentaro albums ===
"1972 - Coplas libertarias a la historia de Chile,
",9,== Discography == | === Quelentaro albums ===
"1975 - Quiebracanto, tiempo de amor
",10,== Discography == | === Quelentaro albums ===
"1976 - Tiempos de amor
",11,== Discography == | === Quelentaro albums ===
"1977 - Qué de caminos
",12,== Discography == | === Quelentaro albums ===
"1979 - Buscando siembra
",13,== Discography == | === Quelentaro albums ===
"1982 - Lonconao
",14,== Discography == | === Quelentaro albums ===
"1983 - Reverdeciendo
",15,== Discography == | === Quelentaro albums ===
"1985 - Aquiebracanto
",16,== Discography == | === Quelentaro albums ===
"1988 -  ""En Vivo"" (grabado en 1985, en vivo, Teatro Gran Palace)
",17,== Discography == | === Quelentaro albums ===
"1989 - Después de la tormenta
",18,== Discography == | === Quelentaro albums ===
"1996 - 8 de marzo
",19,== Discography == | === Quelentaro albums ===
"2002 - 8 de marzo, volumen 2
",20,== Discography == | === Quelentaro albums ===
"2005 - Por siempre (grabado en 2003, en vivo)
",21,== Discography == | === Quelentaro albums ===
"2007 - Coplas libertarias a la historia de Chile, Vol. 1 y 2 (nuevas versiones)
",22,== Discography == | === Quelentaro albums ===
"2011 - Coplas libertarias a la historia de Chile, Vol. 3 y 4
",23,== Discography == | === Quelentaro albums ===
"2013 - Copla del hijo
",24,== Discography == | === Quelentaro albums ===
"=== Collaborations ===
",25,== Discography == | === Collaborations ===
"1966 - Carpa de La Reina (de Violeta Parra)
",26,== Discography == | === Collaborations ===
"1979 - El cantar de la yunta (varios intérpretes)
",27,== Discography == | === Collaborations ===
"=== Books ===
",28,== Discography == | === Books ===
"2002: Amanocheciendo (LOM Ediciones)
",29,== Discography == | === Books ===
"2005: Desde mi cuarto (Editorial GUIRAKA)
",30,== Discography == | === Books ===
"2010: Coplas libertarias a la historia de Chile vol I, II, III y IV (autogestión con auspicio de la Municipalidad de Maipú)
",31,== Discography == | === Books ===
"2013: Coplas al viento (autogestión)
",32,== Discography == | === Books ===
"==== Books about Quelentaro ====
",33,== Discography == | ==== Books about Quelentaro ====
"2004: Quelentaro por dentro (Editorial Universidad de Los Lagos, Osorno), de Antolin Guzmán Valenzuela
",34,== Discography == | ==== Books about Quelentaro ====
