paragraph,paragraphIndex,section
"Janina Gressel (born Janina Garścia; March 12, 1920 – March 1, 2004) was a Polish composer, pianist, and teacher.
",0,N/A
"== Career ==
",1,== Career ==
"In 1945, she graduated from the Władysław Żeleński State Secondary School of Music (class of piano professor Olga Stolfowa), then studied at the State Higher School of Music in Kraków (composition with Stanislaw Wiechowicz and conducting with Artur Malawski). From 1946 she worked as a piano teacher in Kraków schools, first at the Władysław Żeleński State Secondary School of Music (1946-1950), and later for many years at the S. Wiechowicza State Primary School of Music (1951–1995).
",2,== Career ==
"== Compositions ==
",3,== Compositions ==
"She composed roughly 700 pieces for children and teenagers, mainly for piano, as well as for cello, oboe, recorder, and percussion. She also composed works for four cellos, two pianos, and a folk band. Her works include musical illustrations, polyrhythmic pieces, pieces for piano and percussion for one performer, and pieces for piano with electronic music.
",4,== Compositions ==
"== Selected Songs ==
",5,== Selected Songs ==
"The Easiest Pieces for Children (1946)
",6,== Selected Songs ==
"Puzzle (1958)
",7,== Selected Songs ==
"Little Suite for two pianos (1961)
",8,== Selected Songs ==
"Zrytmizowany świat for piano and children's percussion instruments for one performer (1974)
",9,== Selected Songs ==
"Cello Impressions (1981)
",10,== Selected Songs ==
"Fairy Tales Written with Sound (1994)
",11,== Selected Songs ==
"6 Expressive Miniatures (1997)
",12,== Selected Songs ==
"== Arrangements ==
",13,== Arrangements ==
"Some of her pieces have been arranged for accordion and harmonica. Many of her compositions have been included in method books in the Austria, Japan, the Czech Republic, East Germany and the former Soviet Union. Her pieces are included in the Royal Conservatory of Music Piano Syllabus.
",14,== Arrangements ==
"== Awards and decorations ==
",15,== Awards and decorations ==
"She was the winner of the first degree departmental award (1973) and the award of the Prime Minister (1975). She was decorated with the Knight's Cross of the Order of Polonia Restituta (1983), the Medal of the Commission of National Education (1979), the Golden Badge of the City of Kraków (1972), and the Order of the Smile (2002).
",16,== Awards and decorations ==
"== Commemoration ==
",17,== Commemoration ==
"In Lubliniec, Chrzanów, Jelenia Góra, and Tczew, she is the patron of music schools.
",18,== Commemoration ==
"Since 1993, the Janina Garścia International Contest has taken place in Stalowa Wola. She is also the patron of the Festival of Polish Contemporary Music for Pianists in Lubliniec.
",19,== Commemoration ==
"== References ==
",20,== References ==
"== Bibliography ==
",21,== Bibliography ==
"Elżbieta Dziębowska, ed. (1987). Encyklopedia muzyczna PWM (in Polish). Vol. 3 (I ed.). Kraków: PWM. p. 238. ISBN 83-224-0344-5.
",22,== Bibliography ==
"Andrzej Chodkowski, ed. (1995). Encyklopedia muzyki (in Polish). Warsaw: PWN. p. 300. ISBN 83-01-11390-1.
",23,== Bibliography ==
"Kto jest kim w Polsce. Informator biograficzny, edition 3, Warsaw 1993.",24,== Bibliography ==
