paragraph,paragraphIndex,section
"Yui Sakakibara (Japanese: 榊原ゆい, Hepburn: Sakakibara Yui, born October 13) is a Japanese voice actress, choreographer, dancer and singer from Hyōgo Prefecture. She appeared on Kōhaku Uta Gassen as background dancer behind Ami Suzuki in 1999 and 2000. She used the name Mayo Hinano (雛野 真代(まよ), Hinano Mayo) and others in her previous roles. She is also credited as FES from the band ""Phantasm"" (ファンタズム) in the Science Adventure visual novel series, which is a stage name of her character Ayase Kishimoto from Chaos;Head.
",0,N/A
"== Filmography ==
",1,== Filmography ==
"=== Anime ===
",2,== Filmography == | === Anime ===
"Happiness! (2006), Haruhi Kamisaka
",3,== Filmography == | === Anime ===
"Otome wa Boku ni Koishiteru (2006), Hisako Kajiura
",4,== Filmography == | === Anime ===
"Super Robot Wars Original Generation: Divine Wars (2006), Leona Garstein
",5,== Filmography == | === Anime ===
"Prism Ark (2007), Priecia
",6,== Filmography == | === Anime ===
"Chaos;Head (2008), Ayase Kishimoto
",7,== Filmography == | === Anime ===
"H2O: Footprints in the Sand (2008), Hamaji Yakumo
",8,== Filmography == | === Anime ===
"Nyan Koi! (2009), Kumaneko
",9,== Filmography == | === Anime ===
"Super Robot Wars Original Generation: The Inspector (2010), Leona Garstein
",10,== Filmography == | === Anime ===
"Koi to Senkyo to Chocolate (2012), Mieru Ariake
",11,== Filmography == | === Anime ===
"Seikoku no Dragonar (2014),  Navi
",12,== Filmography == | === Anime ===
"=== Original video animation ===
",13,== Filmography == | === Original video animation ===
"Papillon Rose (2003), Sister Pchela
",14,== Filmography == | === Original video animation ===
"Touhou Project Side Story: Hoshi no Kioku (2007), Kaguya Houraisan
",15,== Filmography == | === Original video animation ===
"Harukoi Otome (2008), Umi Hayasaka
",16,== Filmography == | === Original video animation ===
"Yotsunoha (2008), Nono Nekomiya
",17,== Filmography == | === Original video animation ===
"Mayo elle Otokonoko (2010), Umezaemon Matsukaze
",18,== Filmography == | === Original video animation ===
"=== Web Anime ===
",19,== Filmography == | === Web Anime ===
"Saishū Shiken Kujira (2007), Niina Mikage
",20,== Filmography == | === Web Anime ===
"=== Console games ===
",21,== Filmography == | === Console games ===
"St. Luminous Mission High School (2000), Yuka Tajima
",22,== Filmography == | === Console games ===
"Super Robot Wars Alpha (2000), Leona Garstein
",23,== Filmography == | === Console games ===
"Nukumori no Naka de: in the warmth (2001) Rina Shinbashi
",24,== Filmography == | === Console games ===
"Super Robot Wars Alpha for Dreamcast (2001), Leona Garstein
",25,== Filmography == | === Console games ===
