paragraph,paragraphIndex,section
"Tom Browne (born October 30, 1954) is an American jazz trumpeter. He rose to prominence with Sonny Fortune and had major hits in 1980 and 1981: the No. 1 Billboard magazine R&B single ""Funkin' for Jamaica (N.Y.)"" and the No. 4 R&B single ""Thighs High (Grip Your Hips and Move)"".
",0,N/A
"== Discography ==
",1,== Discography ==
"=== Studio albums ===
",2,== Discography == | === Studio albums ===
"=== Singles ===
",3,== Discography == | === Singles ===
"== References ==
",4,== References ==
"== External links ==
",5,== External links ==
Tom Browne discography at Discogs,6,== External links ==
