time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1969,CD,YEAR_REGEX_1,TIME,time_reference,1,0,1969-01-01,1969-12-31,ML
1965 and 1999,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,2,0,1965-01-01,1999-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,2,0,1965-01-01,1965-12-31,ML
"March 17 , 1930","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,2,1930-03-17,1930-03-17,ML
of 1942,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,4,2,1942-01-01,1942-12-31,ML
June 1953,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,6,2,1953-06-01,1953-06-30,ML
1956 to 1958,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,7,2,1956-01-01,1958-12-31,ML
the 1959,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,9,2,1959-01-01,1959-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1960-01-01,1960-12-31,ML
1962,CD,YEAR_REGEX_1,TIME,time_reference,1,3,1962-01-01,1962-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,1,3,1992-01-01,1992-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,4,1966-01-01,1966-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1955-01-01,1955-12-31,ML
1959,CD,YEAR_REGEX_1,TIME,time_reference,1,6,1959-01-01,1959-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,2,6,1970-01-01,1970-12-31,ML
