time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 23 , 1964","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Eizo Sakamoto (坂本 英三, Sakamoto Eizō, also credited as さかもと えいぞう Sakamoto Eizō, born February 23, 1964) is a Japanese musician, singer and songwriter who was born in Nishinomiya, Hyōgo Prefecture.",0,0,,11348105,1964-02-23,1964-02-23,ML
the 1990s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,In the 1990s he started up the band Animetal which performed heavy metal covers of anime and tokusatsu opening and closing themes.,2,0,,11348105,1990-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"[2000] Metal Itchokusen (メタル一直線, Metaru Itchokusen)",0,3,== Discography == | === Albums ===,11348105,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,[2002] Shout Drunker,0,4,== Discography == | === Albums ===,11348105,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"[2003] Metal Handsome Man (メタルハンサムマン, Metaru Hansamu Man)",0,5,== Discography == | === Albums ===,11348105,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"[2006] Metal Handsome Man 4: Forever Young (メタルハンサムマン4 FOREVER YOUNG, Metaru Hansamu Man 4 FOREVER YOUNG)",0,6,== Discography == | === Albums ===,11348105,2006-01-01,2006-12-31,ML
2014.03.08,CD,YEAR_REGEX_1,TIME,time_reference,[2014.03.08] Heavenly Days,0,7,== Discography == | === Albums ===,11348105,,,ML
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,[2014.03.08] Heavenly Days,0,7,== Discography == | === Albums ===,11348105,,,ML
2008.08.26,CD,YEAR_REGEX_1,TIME,time_reference,[2008.08.26] Eizo Japan 1,0,9,== Discography == | === Eizo Japan ===,11348105,,,ML
2009.12.02,CD,YEAR_REGEX_1,TIME,time_reference,[2009.12.02] Eizo Japan 2,0,10,== Discography == | === Eizo Japan ===,11348105,,,ML
2010.08.25,CD,YEAR_REGEX_1,TIME,time_reference,[2010.08.25] Eizo Japan 3,0,11,== Discography == | === Eizo Japan ===,11348105,,,ML
2010.10.23,CD,YEAR_REGEX_1,TIME,time_reference,"[2010.10.23] Super Animesong: Legend of 1990s (スーパーアニソン レジェンド オブ’90, Sūpā Anison Rejendo Obu '90)",0,12,== Discography == | === Eizo Japan ===,11348105,,,ML
of 1990s,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"[2010.10.23] Super Animesong: Legend of 1990s (スーパーアニソン レジェンド オブ’90, Sūpā Anison Rejendo Obu '90)",0,12,== Discography == | === Eizo Japan ===,11348105,,,ML
