time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2010,CD,YEAR_REGEX_1,TIME,time_reference,In 2010 he celebrated his 30th music anniversary.,1,2,== Biography ==,29382930,2010-01-01,2010-12-31,ML
night,NN,DAY_TIME_REGEX,TIME,time_reference,"These events range from night clubs (large and small) to music festivals with more than 100,000 people.",3,2,== Biography ==,29382930,,,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Since 1988, Parker has released more than 100 recordings on various labels, and has had top 20 hits with his songs ""Love's Got Me High"", ""The Question"" and albums such as Detroit After Dark in the UK, The Netherlands, Germany, and France.",4,2,== Biography ==,29382930,1988-01-01,1988-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Tragedies of a Plastic Soul Junkie (1996),0,4,== Partial discography ==,29382930,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,Detroit After Dark (1997),0,5,== Partial discography ==,29382930,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,No Weapons Formed Against Me Shall Prosper (1997) (as Seven Grand Housing Authority),0,6,== Partial discography ==,29382930,1997-01-01,1997-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,GOD Loves Detroit (2014),0,7,== Partial discography ==,29382930,2014-01-01,2014-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Life On The Back 9 (2017),0,8,== Partial discography ==,29382930,2017-01-01,2017-12-31,ML
