time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
9 April 1944,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0,1944-04-09,1944-04-09,ML
December 1963,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,2,2,1963-12-01,1963-12-31,ML
1964,CD,YEAR_REGEX_1,TIME,time_reference,3,2,1964-01-01,1964-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,3,2,1966-01-01,1966-12-31,ML
of 1967,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,2,1967-01-01,1967-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,7,2,1967-01-01,1967-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,8,2,1968-01-01,1968-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,8,2,1970-01-01,1970-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,9,2,1971-01-01,1971-12-31,ML
1978 to 1981,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,13,2,1978-01-01,1981-12-31,ML
1994 to 2008,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,13,2,1994-01-01,2008-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,0,5,1967-01-01,1967-12-31,ML
1967,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1967-01-01,1967-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,7,1968-01-01,1968-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,8,1968-01-01,1968-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,9,1969-01-01,1969-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1969-01-01,1969-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,11,1970-01-01,1970-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,12,1973-01-01,1973-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,13,1978-01-01,1978-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,14,1980-01-01,1980-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,0,15,1982-01-01,1982-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,16,1999-01-01,1999-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,0,17,2007-01-01,2007-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,0,18,1998-01-01,1998-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,0,19,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,20,2006-01-01,2006-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,0,21,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,0,22,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,0,23,2015-01-01,2015-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,0,25,1971-01-01,1971-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1973-01-01,1973-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,0,27,1977-01-01,1977-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,0,29,1970-01-01,1970-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,0,30,1975-01-01,1975-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,31,1978-01-01,1978-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,32,1978-01-01,1978-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,0,33,1978-01-01,1978-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,0,34,1981-01-01,1981-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,0,35,2010-01-01,2010-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,0,36,2012-01-01,2012-12-31,ML
2021,CD,YEAR_REGEX_1,TIME,time_reference,0,37,2021-01-01,2021-12-31,ML
the early 1960s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,1,2,1960-01-01,1963-12-31,LLM
the early months,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,5,2,,,ML
May,NNP,MONTH_REGEX,TIME,time_reference,7,2,,,ML
May,NNP,MONTH_REGEX,TIME,time_reference,8,2,,,ML
May,NNP,MONTH_REGEX,TIME,time_reference,0,31,,,ML
May,NNP,MONTH_REGEX,TIME,time_reference,0,32,,,ML
