time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"August 18 , 1969","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Jamel Irief (born Elgin Turner; August 18, 1969), better known by his stage name Masta Killa, is an American rapper and member of the Wu-Tang Clan.",0,0,,47474051,1969-08-18,1969-08-18,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"No Said Date in 2004 to positive reviews, and has since released three additional albums.",3,0,,47474051,2004-01-01,2004-12-31,ML
the 1978,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He derived his rap name from the 1978 kung fu film Shaolin Master Killer, (Shao Lin san shi liu fang).",3,3,== Career ==,47474051,1978-01-01,1978-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997, the Wu-Tang Clan's second album Wu-Tang Forever saw Masta become a mainstay in the group's line-up with regular appearances throughout the double album.",11,3,== Career ==,47474051,1997-01-01,1997-12-31,ML
June 2004,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Masta Killa was the last member to release a solo project, after it was delayed for several years and finally released in June 2004 with the title No Said Date; critically acclaimed, it became independent label Nature Sounds' best-selling album, notable for featuring every core member of the Wu-Tang Clan on the album after a period in the group's history that lacked unity.",0,4,== Career ==,47474051,2004-06-01,2004-06-30,ML
"August 8 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"His second album, Made in Brooklyn, was released on August 8, 2006, and includes production from Pete Rock and MF Doom.",1,4,== Career ==,47474051,2006-08-08,2006-08-08,ML
March 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"""Ringing Bells"", the Bronze Nazareth-produced lead single from the album, was released in March 2006.",2,4,== Career ==,47474051,2006-03-01,2006-03-31,ML
December 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2012 he released his third album titled Selling My Soul, an LP with heavy soul grooves and guests including Kurupt and the late Ol' Dirty Bastard.",0,5,== Career ==,47474051,2012-12-01,2012-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"The album was intended as a precursor to his long-awaited album Loyalty is Royalty, first announced in 2010 and eventually released in 2017.",1,5,== Career ==,47474051,2010-01-01,2010-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"The album was intended as a precursor to his long-awaited album Loyalty is Royalty, first announced in 2010 and eventually released in 2017.",1,5,== Career ==,47474051,2017-01-01,2017-12-31,ML
the 2019,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Masta Killa is related to both Marvin Gaye and Nat Turner, as revealed in the 2019 Wu-Tang documentary Of Mics and Men.",6,7,== Personal life ==,47474051,2019-01-01,2019-12-31,ML
the 1978,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Masta Killa gets his name from the 1978 kung fu movie Shaolin Master Killer, also known as the 36th Chamber of Shaolin.",0,9,== Moniker and aliases ==,47474051,1978-01-01,1978-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,No Said Date (2004),0,12,== Discography == | === Studio albums ===,47474051,2004-01-01,2004-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,Made in Brooklyn (2006),0,13,== Discography == | === Studio albums ===,47474051,2006-01-01,2006-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Selling My Soul (2012),0,14,== Discography == | === Studio albums ===,47474051,2012-01-01,2012-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,Loyalty is Royalty (2017),0,15,== Discography == | === Studio albums ===,47474051,2017-01-01,2017-12-31,ML
their 1993,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,"Though one of the lesser-known members of the group (he was featured on only one track on their 1993 debut album Enter the Wu-Tang (36 Chambers)), he has been prolific on Clan group albums and solo projects since the mid-1990s.",1,0,,47474051,1993-01-01,1993-12-31,LLM
early days,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"He was extensively mentored by the GZA during his early days with the group, evident in the similar flow they both employ.",2,3,== Career ==,47474051,,,ML
night,NN,DAY_TIME_REGEX,TIME,time_reference,"In fact, on the No Said Date DVD, Killah Priest claims that he and Masta Killa were in competition for the spot on ""Da Mystery of Chessboxin'"", and while Killah Priest fell asleep, Masta Killa stayed up all night writing and Killah Priest woke up the next morning to Masta Killa's verse.",6,3,== Career ==,47474051,,,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,"During the first round of solo projects, he made several appearances on tracks now considered Wu-Tang classics, such as ""Winter Warz"", ""Duel of the Iron Mic"", and ""Glaciers of Ice"".",8,3,== Career ==,47474051,,,ML
several years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Masta Killa was the last member to release a solo project, after it was delayed for several years and finally released in June 2004 with the title No Said Date; critically acclaimed, it became independent label Nature Sounds' best-selling album, notable for featuring every core member of the Wu-Tang Clan on the album after a period in the group's history that lacked unity.",0,4,== Career ==,47474051,,,ML
