time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1945,CD,YEAR_REGEX_1,TIME,time_reference,"James William Price (born 1945, Fort Worth, Texas, United States) is an American session musician.",0,0,,4422050,1945-01-01,1945-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,"He toured extensively with The Rolling Stones from 1970 until 1973, including their 1972 American Tour, and appears along with Keys on the albums Sticky Fingers, Exile on Main St. and Goats Head Soup.",2,0,,4422050,1970-01-01,1970-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"He toured extensively with The Rolling Stones from 1970 until 1973, including their 1972 American Tour, and appears along with Keys on the albums Sticky Fingers, Exile on Main St. and Goats Head Soup.",2,0,,4422050,1973-01-01,1973-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,His work on the Delaney & Bonnie album Accept No Substitute (1969) led to touring with the band.,1,2,== Career ==,4422050,1969-01-01,1969-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,He next appeared on Eric Clapton's self-titled solo album (1970).,2,2,== Career ==,4422050,1970-01-01,1970-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Wayne Shorter - Native Dancer (CBS), 1975",0,10,== Albums produced by Price ==,4422050,1975-01-01,1975-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Hamilton, Joe Frank & Reynolds (Playboy), 1975",0,13,== Albums produced by Price ==,4422050,1975-01-01,1975-12-31,ML
the 1980s and 1990s,DT CD CC CD,PREFIX_REGEX_1 YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,MODIFIER TIME MODIFIER TIME,time_reference,"During the 1980s and 1990s, Price composed music for numerous motion pictures, television programs and advertisements.",6,2,== Career ==,4422050,1980-01-01,1999-12-31,LLM
of the 1970s,IN DT NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"Because of saxophone player Bobby Keys' work with the Rolling Stones, Price was able to play with the Stones for most of the 1970s.",1,0,,4422050,1970-01-01,1979-12-31,LLM
their 1972,PRP$ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,,"He toured extensively with The Rolling Stones from 1970 until 1973, including their 1972 American Tour, and appears along with Keys on the albums Sticky Fingers, Exile on Main St. and Goats Head Soup.",2,0,,4422050,,,ML
September 1968 to February 1969,NNP CD TO NNP CD,MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME TIME MODIFIER TIME TIME,time_reference,"From September 1968 to February 1969, Price played with New Buffalo Springfield.",3,0,,4422050,,,ML
that year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Also that year, he worked on All Things Must Pass with George Harrison and Mad Dogs and Englishmen with Joe Cocker.",3,2,== Career ==,4422050,,,ML
The next year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,The next year he appeared on Barbra Streisand's album Barbra Joan Streisand.,4,2,== Career ==,4422050,,,ML
Nowadays,NNS,TIMELINE_REGEX,TIME,time_reference,Nowadays Ain't Got No Shame (A&M),1,4,== Albums produced by Price ==,4422050,,,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,Milton Nascimento - Journey to Dawn (A&M),0,15,== Albums produced by Price ==,4422050,,,ML
Weekend,NNP,TIME_UNIT_REGEX,TIME,time_reference,Price orchestrated the underscoring for ABC Children's Weekend Specials (Asselin Productions).,0,17,== Television and film scores ==,4422050,,,ML
