time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 3 , 1960","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Ahrre Maros, sometimes Arpie Maros, (born February 3, 1960) is a Hungarian-American coffee entrepreneur based in Westfield, New Jersey who is notable for managing two widely attended concert series in the northern New Jersey area for charitable purposes.",0,0,,34848479,1960-02-03,1960-02-03,ML
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,"Artists are paid either a flat fee or a percentage of ticket sales, and the rest of the money is donated to charity; over the past dozen years, tens of thousands of dollars have been raised annually.",3,0,,34848479,,,ML
Monthly,NNP,TIME_UNIT_REGEX,TIME,time_reference,"In addition, he owns and manages several coffee shops in the north Jersey area; his coffee shops in Westfield and Summit were cited by New Jersey Monthly magazine for their quality.",4,0,,34848479,,,ML
