time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Endsley was born in 1975 in Denver, Colorado, and studied trumpet, percussion, and composition at the Eastman School of Music, where he met the other members of Kneebody.",0,2,== Background ==,34132820,1975-01-01,1975-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"2nd Guess (Endsley Music, 2002)",0,5,== Discography == | === As leader ===,34132820,2002-01-01,2002-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Hissy Fit (Love Slave, 1999)",0,8,== Discography == | === As sideman ===,34132820,1999-01-01,1999-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Vice & Virtue (RKM Music, 2003)",0,9,== Discography == | === As sideman ===,34132820,2003-01-01,2003-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Anastomosi (Abeat, 2006)With Steve Coleman",0,10,== Discography == | === As sideman ===,34132820,2006-01-01,2006-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Genesis & the Opening of the Way (RCA Victor, 1997)",0,11,== Discography == | === As sideman ===,34132820,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"The Sonic Language of Myth (RCA Victor, 1999)",0,12,== Discography == | === As sideman ===,34132820,1999-01-01,1999-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"The Ascension to Light (BMG, 2001)With",0,13,== Discography == | === As sideman ===,34132820,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Revelling/Reckoning (Righteous Babe, 2001)",0,14,== Discography == | === As sideman ===,34132820,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"So Much Shouting So Much Laughter (Righteous Babe, 2002)",0,15,== Discography == | === As sideman ===,34132820,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Evolve (Righteous Babe, 2003)With Kneebody",0,16,== Discography == | === As sideman ===,34132820,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Kneebody (Koch, 2005)",0,17,== Discography == | === As sideman ===,34132820,2005-01-01,2005-12-31,ML
