time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
6 April 1951,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Pascal Rogé (born 6 April 1951) is a French pianist.,0,0,,3952865,1951-04-06,1951-04-06,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,Rogé first appearance in public was in 1960 with a performance of Claude Debussy's Préludes.,0,2,== Biography ==,3952865,1960-01-01,1960-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011 he and his wife Ami premiered the Concerto for Two Pianos by the Australian composer Matthew Hindson, which was commissioned to celebrate their recent wedding.",0,3,== Biography ==,3952865,2011-01-01,2011-12-31,ML
several years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,He won the piano prize at the Paris Conservatory and worked for several years with Julius Katchen.,1,2,== Biography ==,3952865,,,ML
