time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"August 12 , 1993","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Park Sun-young (born August 12, 1993), known professionally as Luna, is a South Korean singer, musical actress and television presenter.",0,0,,24194969,1993-08-12,1993-08-12,ML
September 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,She debuted as a member of girl group f(x) in September 2009.,1,0,,24194969,2009-09-01,2009-09-30,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,She also starred in the film The Lightning Man's Secret (2015).,3,0,,24194969,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"In 2016, she released her debut extended play",0,1,,24194969,2016-01-01,2016-12-31,ML
September 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2019, Luna left SM Entertainment and joined Humap Contents for her future solo activities.",2,1,,24194969,2019-09-01,2019-09-30,ML
February 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2021, Luna established her own entertainment agency called Grida Entertainment.",3,1,,24194969,2021-02-01,2021-02-28,ML
"August 12 , 1993","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Luna was born as Park Sun-young in Seoul, South Korea on August 12, 1993 to a family of classical vocal singers.",0,3,== Early life ==,24194969,1993-08-12,1993-08-12,ML
2006–2010,CD,YEAR_REGEX_1,TIME,time_reference,2006–2010:,1,5,== Career == | === 2006–2010: Career beginnings ===,24194969,2006-01-01,2010-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"In 2006, SM Entertainment recruited Luna after seeing her performing on an SBS television program, Truth Game.",0,6,== Career == | === 2006–2010: Career beginnings ===,24194969,2006-01-01,2006-12-31,ML
September 2009,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,She later debuted as the main vocalist and lead dancer of South Korean girl group f(x) in September 2009.,1,6,== Career == | === 2006–2010: Career beginnings ===,24194969,2009-09-01,2009-09-30,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, she appeared as the regular member of Star King for a long time and earned a Newcomer Award from the SBS Entertainment Awards for her appearance and effort.",3,6,== Career == | === 2006–2010: Career beginnings ===,24194969,2010-01-01,2010-12-31,ML
the 2010,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Later in the year, Luna recorded the song ""Let's Go"" alongside labelmates Sungmin, Seohyun, and Jonghyun, for the purpose of increasing public participation in the 2010 G-20",4,6,== Career == | === 2006–2010: Career beginnings ===,24194969,2010-01-01,2010-12-31,ML
2011–2015,CD,YEAR_REGEX_1,TIME,time_reference,2011–2015:,1,7,== Career == | === 2011–2015: Solo activities ===,24194969,2011-01-01,2015-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011, Luna was reported to making her musical debut and would take on the character Elle Woods in Legally Blonde.",0,8,== Career == | === 2011–2015: Solo activities ===,24194969,2011-01-01,2011-12-31,ML
