time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2004,CD,YEAR_REGEX_1,TIME,time_reference,"No More (Lex Records, 2004)",1,5,== Discography == | === Albums ===,11282633,2004-01-01,2004-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Of Cities (Bully Records, 2009)",0,6,== Discography == | === Albums ===,11282633,2009-01-01,2009-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,Untitled (2003) with Grandmaster Caz,0,8,== Discography == | === Singles ===,11282633,2003-01-01,2003-12-31,ML
Winter,NNP,SEASON_REGEX,TIME,time_reference,Winter’s Going (2004),0,9,== Discography == | === Singles ===,11282633,,,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Winter’s Going (2004),0,9,== Discography == | === Singles ===,11282633,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,Unclean Vol. 1 (2004),0,10,== Discography == | === Singles ===,11282633,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,No One Leaves (2005) with Six Vicious,0,11,== Discography == | === Singles ===,11282633,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Nobody's Smiling (2007) with Blockhead,0,12,== Discography == | === Singles ===,11282633,2007-01-01,2007-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Signifyin’ Breaks (1996),0,14,== Discography == | === Mixtapes ===,11282633,1996-01-01,1996-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Mixed Messages (2000),0,15,== Discography == | === Mixtapes ===,11282633,2000-01-01,2000-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,1 (2004),1,16,== Discography == | === Mixtapes ===,11282633,2004-01-01,2004-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Buck 65 - Square (2002),0,18,== Discography == | === Contributions ===,11282633,2002-01-01,2002-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"""And All You Can Do Is Laugh (2)"" from Clouddead (2001)",1,19,== Discography == | === Contributions ===,11282633,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Sage Francis - ""The Strange Famous Mullet Remover"" ""Smoke and Mirrors"" from Personal Journals (2002)",0,20,== Discography == | === Contributions ===,11282633,2002-01-01,2002-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Sage Francis - ""Kiddie Litter"" from Sickly Business (2004)",0,21,== Discography == | === Contributions ===,11282633,2004-01-01,2004-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Blockhead - ""Coloring Book"" ""Duke of Hazzard"" ""Put Down Your Dream Journal and Dance"" ""Trailer Love"" from Uncle Tony's Coloring Book (2007)",0,22,== Discography == | === Contributions ===,11282633,2007-01-01,2007-12-31,ML
3:16 Presents,CD NNP,DIGIT_REGEX_1 TIMELINE_REGEX,NUMERAL TIME,,"""What's Really Good?"" from Murs 3:16 Presents (2008)",1,23,== Discography == | === Contributions ===,11282633,,,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"""What's Really Good?"" from Murs 3:16 Presents (2008)",1,23,== Discography == | === Contributions ===,11282633,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Blockhead - ""It's Raining Clouds"" ""Hell Camp"" ""Farewell Spaceman"" from The Music Scene (2009)",0,24,== Discography == | === Contributions ===,11282633,2009-01-01,2009-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"""Propaganda"" ""Meditations"" ""Interlude"" with DJ Mayonnaise on Music for the Advancement of Hip Hop (1999)",0,26,== Discography == | === Compilation appearances ===,11282633,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"""I Dream (Tranquility)"" with Lulu Mushi on Ropeladder 12 (2000)",0,27,== Discography == | === Compilation appearances ===,11282633,2000-01-01,2000-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"""Buk Out"" ""Motion Study"" on Lunch Money Singles (2004)",0,28,== Discography == | === Compilation appearances ===,11282633,2004-01-01,2004-12-31,ML
