time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
23 June 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Lauren Diane Bennett (born 23 June 1989) is an English singer, songwriter, dancer, and model who is known for being a member of the girl group G.R.L. Bennett has also worked with the Paradiso Girls, CeeLo Green, Robin Antin, The Pussycat Dolls, and LMFAO.",0,0,,31590880,1989-06-23,1989-06-23,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"She was featured on the lattermost's 2011 track ""Party Rock Anthem,"" which became her first number one single in the United Kingdom and United States.",1,0,,31590880,2011-01-01,2011-12-31,ML
2007–2010,CD,YEAR_REGEX_1,TIME,time_reference,2007–2010:,1,2,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2007-01-01,2010-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"The group consisted of seven members at their formation in 2007, but had dropped to five by 2008.",1,3,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"The group consisted of seven members at their formation in 2007, but had dropped to five by 2008.",1,3,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2008-01-01,2008-12-31,ML
12 May 2009,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Their debut single, ""Patron Tequila"", featuring Lil Jon and Eve, was released on 12 May 2009 and reached No. 3 on the Hot Dance Club Play Chart and No. 82 on the Canadian Hot 100.",4,3,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2009-05-12,2009-05-12,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"After their second single, ""Who's My Bitch"", was unsuccessful, the group disbanded in 2010.",5,3,== Career == | === 2007–2010: Paradiso Girls ===,31590880,2010-01-01,2010-12-31,ML
2010–2013,CD,YEAR_REGEX_1,TIME,time_reference,2010–2013:,1,4,== Career == | === 2010–2013: Solo career ===,31590880,2010-01-01,2013-12-31,ML
21 November 2011,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Her debut solo single ""I Wish I Wish"" was released on 21 November 2011 via Interscope Records.",6,5,== Career == | === 2010–2013: Solo career ===,31590880,2011-11-21,2011-11-21,ML
2013–15,CD,YEAR_REGEX_1,TIME,time_reference,2013–15:,1,6,== Career == | === 2013–15: G.R.L. ===,31590880,2013-01-01,2023-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"In 2011 it was announced that a new line-up of the ""sexy brand"" would debut in February 2012 during a GoDaddy Super Bowl commercial.",3,7,== Career == | === 2013–15: G.R.L. ===,31590880,2011-01-01,2011-12-31,ML
February 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In 2011 it was announced that a new line-up of the ""sexy brand"" would debut in February 2012 during a GoDaddy Super Bowl commercial.",3,7,== Career == | === 2013–15: G.R.L. ===,31590880,2012-02-01,2012-02-29,ML
September 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,G.R.L. were on their way to mainstream success when group member Simone Battle died in September 2014.,2,8,== Career == | === 2013–15: G.R.L. ===,31590880,2014-09-01,2014-09-30,ML
