time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1992–1993,CD,YEAR_REGEX_1,TIME,time_reference,1992–1993:,1,2,== History == | === 1992–1993: Beginnings ===,1712915,1992-01-01,1993-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"In 1992, Thrill da Playa and Fast Cash teamed up to form 69 Boyz, the group.",0,3,== History == | === 1992–1993: Beginnings ===,1712915,1992-01-01,1992-12-31,ML
1994–1996,CD,YEAR_REGEX_1,TIME,time_reference,=== 1994–1996: 199Quad and Sunset Park ===,0,4,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,1994-01-01,1996-12-31,ML
199Quad and Sunset,CD CC NNP,DIGIT_REGEX_1 LINKAGE_REGEX DAY_TIME_REGEX,NUMERAL MODIFIER TIME,time_range,=== 1994–1996: 199Quad and Sunset Park ===,0,4,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,,,ML
the summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"The group had success in the summer of 1994 with its first single, ""Tootsee Roll"", from their debut album, 199Quad.",0,5,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,,,ML
of 1994,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The group had success in the summer of 1994 with its first single, ""Tootsee Roll"", from their debut album, 199Quad.",0,5,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,The band was nominated for three Soul Train Music Awards in 1995.,3,5,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, the duo recorded a song for the soundtrack of Sunset Park, called ""Hoop In Yo Face"".",4,5,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,1996-01-01,1996-12-31,ML
of Sunset,IN NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"In 1996, the duo recorded a song for the soundtrack of Sunset Park, called ""Hoop In Yo Face"".",4,5,== History == | === 1994–1996: 199Quad and Sunset Park ===,1712915,,,ML
1997–1998,CD,YEAR_REGEX_1,TIME,time_reference,1997–1998:,1,6,== History == | === 1997–1998: The Wait is Over ===,1712915,1997-01-01,1998-12-31,ML
July 1998,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their second album, The Wait is Over, came out in July 1998 (which was written and recorded in 1997) and featured the single ""Woof Woof"", which was written for the feature film Dr. Dolittle, starring Eddie Murphy.",0,7,== History == | === 1997–1998: The Wait is Over ===,1712915,1998-07-01,1998-07-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Their second album, The Wait is Over, came out in July 1998 (which was written and recorded in 1997) and featured the single ""Woof Woof"", which was written for the feature film Dr. Dolittle, starring Eddie Murphy.",0,7,== History == | === 1997–1998: The Wait is Over ===,1712915,1997-01-01,1997-12-31,ML
1999–2000,CD,YEAR_REGEX_1,TIME,time_reference,1999–2000: 2069 ===,1,8,== History == | === 1999–2000: 2069 ===,1712915,1999-01-01,2000-12-31,ML
2069,CD,YEAR_REGEX_1,TIME,time_reference,1999–2000: 2069 ===,1,8,== History == | === 1999–2000: 2069 ===,1712915,2069-01-01,2069-12-31,ML
2069,CD,YEAR_REGEX_1,TIME,time_reference,"Their third album, 2069, was released in April 2000 and it featured one single, ""How We Roll"".",0,9,== History == | === 1999–2000: 2069 ===,1712915,2069-01-01,2069-12-31,ML
April 2000,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their third album, 2069, was released in April 2000 and it featured one single, ""How We Roll"".",0,9,== History == | === 1999–2000: 2069 ===,1712915,2000-04-01,2000-04-30,ML
2001–2002,CD,YEAR_REGEX_1,TIME,time_reference,2001–2002:,1,10,== History == | === 2001–2002: Trunk Funk 101 ===,1712915,2001-01-01,2002-12-31,ML
September 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Their fourth and final album, Trunk Funk 101, came out in September 2001 and like its predecessor also only had one single, ""She's Skurred"".",0,11,== History == | === 2001–2002: Trunk Funk 101 ===,1712915,2001-09-01,2001-09-30,ML
