time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Tell-Tale Signs (Windham Hill, 1991)",0,4,== Discography == | === As leader ===,4356014,1991-01-01,1991-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Lava Jazz, The Lounge Art Ensemble (Fuzzy Music, 1997)",0,5,== Discography == | === As leader ===,4356014,1997-01-01,1997-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"In the Now (Sirocco Jazz, 2002)",0,6,== Discography == | === As leader ===,4356014,2002-01-01,2002-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Music for Moderns, The Lounge Art Ensemble (Fuzzy Music, 2005)",0,7,== Discography == | === As leader ===,4356014,2005-01-01,2005-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"From the Hip with David Kikoski, Dave Carpenter, Gary Novak (BFM Jazz, 2013)",0,8,== Discography == | === As leader ===,4356014,2013-01-01,2013-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"From Toshiko with Love (Baystate, 1981)",0,11,== Discography == | === As sideman ===,4356014,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"European Memoirs (Baystate, 1982)With John Beasley",0,12,== Discography == | === As sideman ===,4356014,1982-01-01,1982-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Cauldron (Windham Hill, 1992)",0,13,== Discography == | === As sideman ===,4356014,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"A Change of Heart (Windham Hill, 1993)",0,14,== Discography == | === As sideman ===,4356014,1993-01-01,1993-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"John Beasley Presents MONK'estra Vol. 1 (Mack Avenue, 2016)",0,15,== Discography == | === As sideman ===,4356014,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,"John Beasley Presents MONK'estra Vol. 2 (Mack Avenue, 2017)With Chris Botti",0,16,== Discography == | === As sideman ===,4356014,2017-01-01,2017-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"December (Columbia, 2002)",0,17,== Discography == | === As sideman ===,4356014,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"A Thousand Kisses Deep (Columbia, 2003)",0,18,== Discography == | === As sideman ===,4356014,2003-01-01,2003-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"When I Fall in Love (Columbia, 2004)With Billy Childs",0,19,== Discography == | === As sideman ===,4356014,2004-01-01,2004-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,Midland (Lunacy 1985),0,20,== Discography == | === As sideman ===,4356014,1985-01-01,1985-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"Take for Example This...(Windham Hill, 1988)",0,21,== Discography == | === As sideman ===,4356014,1988-01-01,1988-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Twilight Is Upon Us (Windham Hill, 1989)",0,22,== Discography == | === As sideman ===,4356014,1989-01-01,1989-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"His April Touch (Windham Hill, 1991)",0,23,== Discography == | === As sideman ===,4356014,1991-01-01,1991-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"I've Known Rivers (Stretch, 1995)With Chick Corea",0,24,== Discography == | === As sideman ===,4356014,1995-01-01,1995-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Live at the Blue Note (Stretch, 1998)",0,25,== Discography == | === As sideman ===,4356014,1998-01-01,1998-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Change (Stretch, 1999)",0,26,== Discography == | === As sideman ===,4356014,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Corea Concerto: Spain for Sextet & Orchestra/Piano Concerto No. 1 (Sony Classical/Stretch, 1999)With Bill Cunliffe",0,27,== Discography == | === As sideman ===,4356014,1999-01-01,1999-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"A Rare Connection (Discovery, 1994)",0,28,== Discography == | === As sideman ===,4356014,1994-01-01,1994-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"How My Heart Sings (Torii, 2003)",0,29,== Discography == | === As sideman ===,4356014,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Imaginacion (Torii, 2005)",0,30,== Discography == | === As sideman ===,4356014,2005-01-01,2005-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"The Blues and the Abstract Truth (Resonance, 2008)With",0,31,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Saxolollapalooza (Cacophony, 2008)",0,32,== Discography == | === As sideman ===,4356014,2008-01-01,2008-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Son of Folk Songs for Jazzers (Cacophony, 2010)",0,33,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Folk Songs for Jazzers (Cacophony, 2010)",0,34,== Discography == | === As sideman ===,4356014,2010-01-01,2010-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Grease Mechanix (Cacophony, 2013)With Dan Siegel",0,35,== Discography == | === As sideman ===,4356014,2013-01-01,2013-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Departure (M&I, 2006)",0,36,== Discography == | === As sideman ===,4356014,2006-01-01,2006-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,Sphere (2009),0,37,== Discography == | === As sideman ===,4356014,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,Indigo (2014)With Robbie Williams,0,38,== Discography == | === As sideman ===,4356014,2014-01-01,2014-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Candy (Island, 2012)",0,39,== Discography == | === As sideman ===,4356014,2012-01-01,2012-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Take the Crown (Island, 2012)",0,40,== Discography == | === As sideman ===,4356014,2012-01-01,2012-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Swings Both Ways (Island, 2013)With others",0,41,== Discography == | === As sideman ===,4356014,2013-01-01,2013-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"Karrin Allyson,  'Round Midnight (Concord Jazz, 2011)",0,42,== Discography == | === As sideman ===,4356014,2011-01-01,2011-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Ernestine Anderson, Blues, Dues & Love News (Qwest/Warner Bros. 1996)",0,43,== Discography == | === As sideman ===,4356014,1996-01-01,1996-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Marc Antoine, Madrid (1998)",0,44,== Discography == | === As sideman ===,4356014,1998-01-01,1998-12-31,ML
