time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"December 10 , 1970","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Hiromi Sato (佐藤 ひろ美, Satō Hiromi, born December 10, 1970) is a female Japanese singer and songwriter from Iwate Prefecture.",0,0,,13338578,1970-12-10,1970-12-10,ML
"December 10 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Prior to December 10, 2005, her name was written as 佐藤裕美.",3,0,,13338578,2005-12-10,2005-12-10,ML
the 1990s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the 1990s, Hiromi Sato sang and played keyboard as part of the indies band Satyagraha.",0,2,== Biography ==,13338578,1990-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"The band recorded only one album Park, before disbanding in 2000.",1,2,== Biography ==,13338578,2000-01-01,2000-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Sato made her solo singing debut in 2000 with the song ""Shield"", ending theme for the PC game Kanaria: Kono omoi o uta ni nosete by Front Wing.",2,2,== Biography ==,13338578,2000-01-01,2000-12-31,ML
October 2001,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In October 2001 she released her first major debut album, Looking for sign, a collection of game theme songs she had performed.",3,2,== Biography ==,13338578,2001-10-01,2001-10-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"She started performing theme songs for TV anime in 2003, where she performed the opening theme for the TV anime adaptation of Green Green, ""Guri Guri"", and the opening theme for Onegai Twins, ""Second Flight"", which was a duet with Kotoko.",4,2,== Biography ==,13338578,2003-01-01,2003-12-31,ML
16 weeks,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"The ""Second Flight"" single reached number 15 on the Oricon charts, charting for 16 weeks.",5,2,== Biography ==,13338578,,,ML
the 2005,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,She had her first voice-acting role in the 2005 TV anime Sousei no Aquarion as Rena Rune.,6,2,== Biography ==,13338578,2005-01-01,2005-12-31,ML
May 2007,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2007, Sato started her own company S Inc., a talent management and music production agency.",0,3,== Biography ==,13338578,2007-05-01,2007-05-31,ML
