time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"March 8 , 1957","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Mitsuko Horie (堀江 美都子, Horie Mitsuko, born March 8, 1957 in Yamato, Kanagawa) is a Japanese actress, voice actress and singer.",0,0,,3634002,1957-03-08,1957-03-08,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,Akko in Himitsu no Akko-chan (1988),0,4,== Filmography == | === Anime ===,3634002,1988-01-01,1988-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,"Private School (1984 Fuji TV edition), Christine Ramsey (Phoebe Cates)",0,20,== Filmography == | === Dubbing ===,3634002,1984-01-01,1984-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"West Side Story (1990 TBS edition), Maria (Natalie Wood)",0,21,== Filmography == | === Dubbing ===,3634002,1990-01-01,1990-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"""Kurenai Sanshiro"" Judo Boy (1969) (Her very first anime theme song; performed when she was only 12 years old)",0,24,== Theme songs == | === Opening themes ===,3634002,1969-01-01,1969-12-31,ML
12 years old,CD NNS JJ,DIGIT_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,"""Kurenai Sanshiro"" Judo Boy (1969) (Her very first anime theme song; performed when she was only 12 years old)",0,24,== Theme songs == | === Opening themes ===,3634002,,,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"""Sazae-san"" Sazae-san (1969) (Horie's song was used as the opening theme in 1975)",0,25,== Theme songs == | === Opening themes ===,3634002,1969-01-01,1969-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"""Sazae-san"" Sazae-san (1969) (Horie's song was used as the opening theme in 1975)",0,25,== Theme songs == | === Opening themes ===,3634002,1975-01-01,1975-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"""Akubi Musume"" Hakushon Daimaou (2nd opening) (1969)",0,26,== Theme songs == | === Opening themes ===,3634002,1969-01-01,1969-12-31,ML
1970,CD,YEAR_REGEX_1,TIME,time_reference,"""Mahou no Mako-chan"" Mahō no Mako-chan (1970)",0,27,== Theme songs == | === Opening themes ===,3634002,1970-01-01,1970-12-31,ML
1971,CD,YEAR_REGEX_1,TIME,time_reference,"Witch Teacher"" Majo Sensei (1971)",1,28,== Theme songs == | === Opening themes ===,3634002,1971-01-01,1971-12-31,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"""Midori no Hidamari"" Yamanezumi Rocky Chuck (1973)",0,29,== Theme songs == | === Opening themes ===,3634002,1973-01-01,1973-12-31,ML
