time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"October 4 , 1973","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Matthew Stephen Ward (born October 4, 1973) is an American singer-songwriter and guitarist from Portland, Oregon.",0,0,,1262477,1973-10-04,1973-10-04,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Ward's solo work is a mixture of folk and blues-inspired Americana analog recordings; he has released ten studio albums since 1999, primarily through independent label Merge Records.",1,0,,1262477,1999-01-01,1999-12-31,ML
1999–2001,CD,YEAR_REGEX_1,TIME,time_reference,Duets for Guitars #2 and End of Amnesia (1999–2001),1,4,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,1999-01-01,2001-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Ward's solo debut, Duet for Guitars #2, was released by Co-Dependent Records in 1999, then re-issued by Howe Gelb's Ow Om record label in 2000.",0,5,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Ward's solo debut, Duet for Guitars #2, was released by Co-Dependent Records in 1999, then re-issued by Howe Gelb's Ow Om record label in 2000.",0,5,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,2000-01-01,2000-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Described by Joshua Klein of Pitchfork as ""ragged and lo-fi...recorded on a shoestring and not necessarily worse for it,"" Duet for Guitars #2 soon went out of print for a second time, before being reissued by Merge in 2007.",1,5,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,2007-01-01,2007-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Ward's second album, End of Amnesia, was put out by Future Farmer Records and Loose Music (Europe) in 2001.",2,5,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"A collection of live recordings, Live Music & The Voice of Strangers, was a self-released disc that was sold at his shows in 2001.",0,6,== Solo recordings == | === Duets for Guitars #2 and End of Amnesia (1999–2001) ===,1262477,2001-01-01,2001-12-31,ML
2003–05,CD,YEAR_REGEX_1,TIME,time_reference,Transfiguration of Vincent and Transistor Radio (2003–05),1,7,== Solo recordings == | === Transfiguration of Vincent and Transistor Radio (2003–05) ===,1262477,2003-01-01,2023-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Ward released his third album, Transfiguration of Vincent, on Merge Records in 2003 to critical success.",0,8,== Solo recordings == | === Transfiguration of Vincent and Transistor Radio (2003–05) ===,1262477,2003-01-01,2003-12-31,ML
the 1965,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The title alludes to the 1965 album The Transfiguration of Blind Joe Death by John Fahey, and refers to the life and death of Vincent O'Brien, a close friend to Ward.",2,8,== Solo recordings == | === Transfiguration of Vincent and Transistor Radio (2003–05) ===,1262477,1965-01-01,1965-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Transistor Radio, Ward's fourth album, was released on Merge in 2005, and he served as the opening act for The White Stripes that fall.",4,8,== Solo recordings == | === Transfiguration of Vincent and Transistor Radio (2003–05) ===,1262477,2005-01-01,2005-12-31,ML
