time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"September 23 , 1975","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Seo Jeong-yeon (born September 23, 1975) is a South Korean actress.",0,0,,50960061,1975-09-23,1975-09-23,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"She has starred in television series such as Righteous Love (2014) and Descendants of the Sun (2016), and had supporting roles in dramas including Something in the Rain (2018).",1,0,,50960061,2014-01-01,2014-12-31,ML
of the Sun,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER MODIFIER TIME,time_reference,"She has starred in television series such as Righteous Love (2014) and Descendants of the Sun (2016), and had supporting roles in dramas including Something in the Rain (2018).",1,0,,50960061,,,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"She has starred in television series such as Righteous Love (2014) and Descendants of the Sun (2016), and had supporting roles in dramas including Something in the Rain (2018).",1,0,,50960061,2016-01-01,2016-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"She has starred in television series such as Righteous Love (2014) and Descendants of the Sun (2016), and had supporting roles in dramas including Something in the Rain (2018).",1,0,,50960061,2018-01-01,2018-12-31,ML
