time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
19 February 1954,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Francis Buchholz (born 19 February 1954) is a German musician best known as the bass guitarist of German rock band Scorpions from 1973 until 1992.,0,0,,2415032,1954-02-19,1954-02-19,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,Francis Buchholz (born 19 February 1954) is a German musician best known as the bass guitarist of German rock band Scorpions from 1973 until 1992.,0,0,,2415032,1973-01-01,1973-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,Francis Buchholz (born 19 February 1954) is a German musician best known as the bass guitarist of German rock band Scorpions from 1973 until 1992.,0,0,,2415032,1992-01-01,1992-12-31,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,"While a mechanical engineering student at the University of Hannover and taking classes at the Hochschule für Musik, Theater und Medien Hannover, Buchholz joined Dawn Road, whose lineup included guitarist Uli Roth.",3,2,== Biography ==,2415032,,,ML
Dawn,NNP,DAY_TIME_REGEX,TIME,time_reference,"Eventually the musicians from Dawn Road and the Scorpions merged into a new incarnation of the Scorpions in 1973, with Buchholz on bass.",4,2,== Biography ==,2415032,,,ML
1973,CD,YEAR_REGEX_1,TIME,time_reference,"Eventually the musicians from Dawn Road and the Scorpions merged into a new incarnation of the Scorpions in 1973, with Buchholz on bass.",4,2,== Biography ==,2415032,1973-01-01,1973-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"Buchholz' first recording with the Scorpions was 1974's Fly to the Rainbow, and he stayed as a band member for 18 years, recording 12 albums during the band's most commercially successful period.",5,2,== Biography ==,2415032,1974-01-01,1974-12-31,ML
18 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Buchholz' first recording with the Scorpions was 1974's Fly to the Rainbow, and he stayed as a band member for 18 years, recording 12 albums during the band's most commercially successful period.",5,2,== Biography ==,2415032,,,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,He left the band after a disagreement over band management in 1992.,8,2,== Biography ==,2415032,1992-01-01,1992-12-31,ML
2005 and 2006,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,Buchholz reunited with Uli Roth for a tour of Europe and the United States in 2005 and 2006.,0,3,== Biography ==,2415032,2005-01-01,2006-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008 Buchholz worked with the band Dreamtide as their bassplayer and co-producer, the album ""Dream And Deliver"" was released in Japan (King Records), Europe (AOR Heaven) and worldwide on iTunes.",0,4,== Biography ==,2415032,2008-01-01,2008-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012, Buchholz toured with former Scorpions lead guitarist Michael Schenker for the European dates of his ""Temple of Rock - Lovedrive Reunion Tour"" alongside former Scorpions drummer Herman Rarebell, with ex-Rainbow vocalist Doogie White and MSG's Wayne Findley on guitars and keys.",1,4,== Biography ==,2415032,2012-01-01,2012-12-31,ML
Christmas 2012,NNP CD,HOLIDAY_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"A DVD, Blu-ray and Double-CD ""Temple Of Rock - Live in Europe"" was released for Christmas 2012.",3,4,== Biography ==,2415032,,,ML
November 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Temple Of Rock's next album ""Bridge The Gap"" featured Buchholz on Bass, it was released in November 2013.",0,5,== Biography ==,2415032,2013-11-01,2013-11-30,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,A European tour in 2013 was followed by concerts in Mexico and South America and in 2014 they toured Japan and Europe.,1,5,== Biography ==,2415032,2013-01-01,2013-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,A European tour in 2013 was followed by concerts in Mexico and South America and in 2014 they toured Japan and Europe.,1,5,== Biography ==,2415032,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"Their new album ""Spirit On A Mission was released in 2015 and the band toured USA, Japan and Europe.",2,5,== Biography ==,2415032,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,Early in 2016 they play more shows in UK and Scandinavia.,3,5,== Biography ==,2415032,2016-01-01,2016-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,1974:,0,8,== Records == | === With the Scorpions ===,2415032,1974-01-01,1974-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,1975:,0,9,== Records == | === With the Scorpions ===,2415032,1975-01-01,1975-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,1976:,0,10,== Records == | === With the Scorpions ===,2415032,1976-01-01,1976-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,1977:,0,11,== Records == | === With the Scorpions ===,2415032,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,1978:,0,12,== Records == | === With the Scorpions ===,2415032,1978-01-01,1978-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,1979: Lovedrive,0,13,== Records == | === With the Scorpions ===,2415032,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,1980:,0,14,== Records == | === With the Scorpions ===,2415032,1980-01-01,1980-12-31,ML
