time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
27 April 1991,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Jobke Pieter Hendrik Heiblom (born 27 April 1991), better known by his stage name Jay Hardway (stylised as JΔY HΔRDWΔY), is a Dutch DJ, record producer and electronic musician from Drunen, North Brabant.",0,0,,41531322,1991-04-27,1991-04-27,ML
The 2013,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The 2013 single became an international hit charting in Belgium, France and the Netherlands.",3,0,,41531322,2013-01-01,2013-12-31,ML
2012–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2012–present:,0,2,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2012-01-01,,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Hardway's first collaboration with Martin Garrix ""Registration Code"" was released in 2012 as a free download through SoundCloud.",0,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2012-01-01,2012-12-31,ML
March 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2013, the two released the single ""Error 404"" through Doorn Records.",1,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2013-03-01,2013-03-31,ML
December 2013,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In December 2013, Hardway and Garrix released the single ""Wizard"" through Spinnin' Records, which became one of their most successful collaborations to date.",2,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2013-12-01,2013-12-31,ML
31 May 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Hardway released his first solo single ""Bootcamp"" on 31 May 2014.",4,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2014-05-31,2014-05-31,ML
13 November 2015,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Later in 13 November 2015, he released ""Electric Elephants"" on Spinnin' Records.",6,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2015-11-13,2015-11-13,ML
17 October 2016,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 17 October 2016, he collaborated with fellow Dutch DJ Martin Garrix on ""Spotless"".",7,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,2016-10-17,2016-10-17,ML
August,NNP,MONTH_REGEX,TIME,time_reference,"His song ""Freedom"" with Mike Hawkins was later released in August of the same year.",5,3,== Career == | === 2012–present: Breakthrough and singles ===,41531322,,,ML
