time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 27 , 1988","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Oh Ji-Min (born May 27, 1988), known professionally as J-Min, is a South Korean singer, songwriter and musical actress.",0,0,,34169196,1988-05-27,1988-05-27,ML
2007–2009,CD,YEAR_REGEX_1,TIME,time_reference,2007–2009:,1,2,== Career == | === 2007–2009: Debut ===,34169196,2007-01-01,2009-12-31,ML
"September 12 , 2007","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"J-Min made her debut in Japan with her first extended play, Korogaru Ringo, on September 12, 2007.",0,3,== Career == | === 2007–2009: Debut ===,34169196,2007-09-12,2007-09-12,ML
"January 16 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On January 16, 2008, J-Min's second Japanese extended play, Dream On... was released.",0,4,== Career == | === 2007–2009: Debut ===,34169196,2008-01-16,2008-01-16,ML
"May 27 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"J-Min released a digital single titled Change/One on May 27, 2009.",0,5,== Career == | === 2007–2009: Debut ===,34169196,2009-05-27,2009-05-27,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,The single was her last released under Avex Trax before her contract expired in 2012.,1,5,== Career == | === 2007–2009: Debut ===,34169196,2012-01-01,2012-12-31,ML
2012–2013,CD,YEAR_REGEX_1,TIME,time_reference,"2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre =",1,6,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-01-01,2013-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,J-Min released several original soundtracks for dramas in 2012.,0,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-01-01,2012-12-31,ML
"September 19 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The music video for ""Stand Up"" was released on September 19, 2012.",8,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-09-19,2012-09-19,ML
"October 4 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"The band version of the music video was unveiled on October 4, 2012.",10,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-10-04,2012-10-04,ML
"August 26 , 2012","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"J-Min and Jungmo performed a special stage on Inkigayo on August 26, 2012.",11,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-08-26,2012-08-26,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,"Her last soundtrack in 2012, titled ""Beautiful Days"", was released for KBS2's drama School 2013 on December 11.",12,7,"== Career == | === 2012–2013: Original soundtracks, If You Want, musical roles and Heart Theatre ===",34169196,2012-01-01,2012-12-31,ML
