time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1948–1955,CD,YEAR_REGEX_1,TIME,time_reference,2,0,1948-01-01,1955-12-31,ML
1873–1938,CD,YEAR_REGEX_1,TIME,time_reference,3,2,1873-01-01,1938-12-31,ML
1877–1954,CD,YEAR_REGEX_1,TIME,time_reference,4,2,1877-01-01,1954-12-31,ML
1913,CD,YEAR_REGEX_1,TIME,time_reference,0,4,1913-01-01,1913-12-31,ML
1916,CD,YEAR_REGEX_1,TIME,time_reference,3,5,1916-01-01,1916-12-31,ML
Around 1920,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,8,1920-01-01,1920-12-31,ML
1932,CD,YEAR_REGEX_1,TIME,time_reference,3,8,1932-01-01,1932-12-31,ML
1933,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1933-01-01,1933-12-31,ML
1940,CD,YEAR_REGEX_1,TIME,time_reference,2,10,1940-01-01,1940-12-31,ML
1934 to 1936,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,12,1934-01-01,1936-12-31,ML
"September 6 , 1936","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,12,1936-09-06,1936-09-06,ML
"August 29 , 1937","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,12,1937-08-29,1937-08-29,ML
1939,CD,YEAR_REGEX_1,TIME,time_reference,1,12,1939-01-01,1939-12-31,ML
1944–1945,CD,YEAR_REGEX_1,TIME,time_reference,2,13,1944-01-01,1945-12-31,ML
1946,CD,YEAR_REGEX_1,TIME,time_reference,3,13,1946-01-01,1946-12-31,ML
"March 11 , 1947","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,7,13,1947-03-11,1947-03-11,ML
"April 13 , 1948","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,7,13,1948-04-13,1948-04-13,ML
1929,CD,YEAR_REGEX_1,TIME,time_reference,0,16,1929-01-01,1929-12-31,ML
"June 8 , 1948","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,16,1948-06-08,1948-06-08,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,14,16,1949-01-01,1949-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,3,17,1950-01-01,1950-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,6,19,1960-01-01,1960-12-31,ML
the 1957,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,7,19,1957-01-01,1957-12-31,ML
1951,CD,YEAR_REGEX_1,TIME,time_reference,0,21,1951-01-01,1951-12-31,ML
1953,CD,YEAR_REGEX_1,TIME,time_reference,1,21,1953-01-01,1953-12-31,ML
1955–56,CD,YEAR_REGEX_1,TIME,time_reference,5,21,1955-01-01,2056-12-31,ML
1958 to 1959,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,22,1958-01-01,1959-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,2,22,1960-01-01,1960-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,2,24,1968-01-01,1968-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,4,24,1949-01-01,1949-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,25,1966-01-01,1966-12-31,ML
1961,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1961-01-01,1961-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,2,26,1966-01-01,1966-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,3,27,1949-01-01,1949-12-31,ML
"April 14 , 1979","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,29,1979-04-14,1979-04-14,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,5,29,2003-01-01,2003-12-31,ML
1951,CD,YEAR_REGEX_1,TIME,time_reference,8,29,1951-01-01,1951-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,0,30,1974-01-01,1974-12-31,ML
the 1982,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,31,1982-01-01,1982-12-31,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,0,32,1984-01-01,1984-12-31,ML
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,32,1980-01-01,1989-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,2,32,1985-01-01,1985-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,7,32,1992-01-01,1992-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,11,32,1995-01-01,1995-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,0,33,1994-01-01,1994-12-31,ML
the 1993,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,33,1993-01-01,1993-12-31,ML
1966,CD,YEAR_REGEX_1,TIME,time_reference,2,33,1966-01-01,1966-12-31,ML
1947,CD,YEAR_REGEX_1,TIME,time_reference,0,35,1947-01-01,1947-12-31,ML
1961,CD,YEAR_REGEX_1,TIME,time_reference,1,35,1961-01-01,1961-12-31,ML
1988 and 1996,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,10,35,1988-01-01,1996-12-31,ML
