time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1989–present,CD,YEAR_REGEX_1,TIME,time_reference,1989–present: Leftover Salmon =,1,2,== History == | === 1989–present: Leftover Salmon ===,13950896,1989-01-01,,ML
2005–present,CD,YEAR_REGEX_1,TIME,time_reference,=== 2005–present: Side projects ===,0,3,== History == | === 2005–present: Side projects ===,13950896,2005-01-01,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Emmitt and Bill Nershi of The String Cheese Incident and Honkytonk Homeslice started a project dubbed the Emmitt-Nershi Band.",0,5,== History == | === 2005–present: Side projects ===,13950896,2007-01-01,2007-12-31,ML
the fall,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"The band toured a small amount in the fall of 2007, and had a wide-scale tour planned for the duration of that year, including stops at festivals such as the High Sierra Music Festival.",1,5,== History == | === 2005–present: Side projects ===,13950896,,,ML
of 2007,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The band toured a small amount in the fall of 2007, and had a wide-scale tour planned for the duration of that year, including stops at festivals such as the High Sierra Music Festival.",1,5,== History == | === 2005–present: Side projects ===,13950896,2007-01-01,2007-12-31,ML
of that year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"The band toured a small amount in the fall of 2007, and had a wide-scale tour planned for the duration of that year, including stops at festivals such as the High Sierra Music Festival.",1,5,== History == | === 2005–present: Side projects ===,13950896,,,ML
