time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
23 February 1958,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"David Sylvian (born David Alan Batt, 23 February 1958) is an English artist, singer-songwriter and musician who came to prominence in the late 1970s as frontman and principal songwriter of the band Japan.",0,0,,264430,1958-02-23,1958-02-23,ML
1984,CD,YEAR_REGEX_1,TIME,time_reference,"Following their break-up, Sylvian embarked on a solo career with his debut album Brilliant Trees (1984).",2,0,,264430,1984-01-01,1984-12-31,ML
1974,CD,YEAR_REGEX_1,TIME,time_reference,"They christened themselves Japan in 1974, signed a recording contract with Hansa, and became an alternative glam rock outfit in the mould of David Bowie, T. Rex, and the New York Dolls.",3,5,== Biography == | === 1970s–early 1980s: Japan ===,264430,1974-01-01,1974-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"In 1980, the band signed with Virgin Records, where Sylvian remained as a recording artist for the next twenty years.",13,5,== Biography == | === 1970s–early 1980s: Japan ===,264430,1980-01-01,1980-12-31,ML
December 1982,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Japan played their final concerts in December 1982 before dissolving.,19,5,== Biography == | === 1970s–early 1980s: Japan ===,264430,1982-12-01,1982-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"In 1982, Sylvian released his first solo collaborative effort with Ryuichi Sakamoto, entitled ""Bamboo Houses/Bamboo Music"".",0,7,== Biography == | === 1980s–1990s: Solo career ===,264430,1982-01-01,1982-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"Sakamoto's first contribution to Sylvian's work, though, had been as co-writer of ""Taking Islands in Africa"" on the Japan album Gentlemen Take Polaroids (1980).",1,7,== Biography == | === 1980s–1990s: Solo career ===,264430,1980-01-01,1980-12-31,ML
the 1983,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Sylvian also worked with Sakamoto on the UK Top 20 song ""Forbidden Colours"" for the 1983 Nagisa Oshima film Merry Christmas, Mr. Lawrence.",0,8,== Biography == | === 1980s–1990s: Solo career ===,264430,1983-01-01,1983-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"In 1985, Sylvian released an instrumental EP Words with the Shaman, in collaboration with Jansen, Hassell, and Czukay.",7,8,== Biography == | === 1980s–1990s: Solo career ===,264430,1985-01-01,1985-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Sylvian said in 1985: ""This short film was shot in two days of November 1984 in and around the outskirts of Tokyo, Japan.",10,8,== Biography == | === 1980s–1990s: Solo career ===,264430,1985-01-01,1985-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Sylvian's demo ""Sylvian's Machine"" became Propaganda's single ""p:Machinery"", released in 1985.",14,8,== Biography == | === 1980s–1990s: Solo career ===,264430,1985-01-01,1985-12-31,ML
13 September 1986,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Released on 13 September 1986, the album made a worthy 24 on the UK Album chart.",18,8,== Biography == | === 1980s–1990s: Solo career ===,264430,1986-09-13,1986-09-13,ML
early 1987,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Writing new material in early 1987, was followed by recording sessions at Chateau Miraval in South of France, and by May 1987 Secrets of the Beehive was completed, finally being released in October 1987.",0,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1987-01-01,1987-12-31,ML
May 1987,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Writing new material in early 1987, was followed by recording sessions at Chateau Miraval in South of France, and by May 1987 Secrets of the Beehive was completed, finally being released in October 1987.",0,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1987-05-01,1987-05-31,ML
October 1987,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Writing new material in early 1987, was followed by recording sessions at Chateau Miraval in South of France, and by May 1987 Secrets of the Beehive was completed, finally being released in October 1987.",0,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1987-10-01,1987-10-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"""Following Secrets of the Beehive, it would be 1999 before he released his next solo offering, as he descended into a prolonged period of clinical depression.",10,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1999-01-01,1999-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,Sylvian was at Can's studio in Cologne 1986 to do a vocal for Czukay's record.,17,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1986-01-01,1986-12-31,ML
March 1988,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Plight and Premonition was finally released in March 1988 while Sylvian was still on tour.,19,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1988-03-01,1988-03-31,ML
the 1980s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Virgin decided to close out the 1980s with the release of Weatherbox, an elaborate boxed-set compilation consisting of Sylvian's four previous solo albums and designed by Russell Mills.",23,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1980-01-01,1989-12-31,ML
1990,CD,YEAR_REGEX_1,TIME,time_reference,"""In 1990, Sylvian collaborated with artists Russell Mills and Ian Walton on the elaborate multi-media installation using sculpture, sound, and light titled Ember Glance – The Permanence of Memory.",25,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1990-01-01,1990-12-31,ML
September and October 1990,NNP CC NNP CD,MONTH_REGEX LINKAGE_REGEX MONTH_REGEX YEAR_REGEX_1,TIME MODIFIER TIME TIME,time_reference,"The exhibition was staged in September and October 1990 at the temporary museum 'Space FGO-Soko' on Tokyo Bay, Shinagawa, Tokyo.",26,9,== Biography == | === 1980s–1990s: Solo career ===,264430,1990-09-01,1990-10-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"In 1992, while working on the Sakamoto single ""Heartbeat"", Sylvian met Ingrid Chavez, a singer and actress who had been a member of Prince's inner circle.",7,11,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1992-01-01,1992-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,"Sylvian first thought of collaborating with guitarist Robert Fripp in 1986, but, characteristically, it took them a while to manage it.",9,11,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1986-01-01,1986-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"On the few dates they undertook in Japan and Italy in 1992, they had no idea when they walked out into the lights what might happen, even what time they would finish their night's labour.",2,12,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1992-01-01,1992-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"‘It was the first time I’ve touched it since 1983,’ he said.",7,12,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1983-01-01,1983-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"‘It was quite nice because it somehow satisfied the expectation of the audience that I should play something from my song- book’Sylvian said in 2006: ""It was the trio work that we did first, only in Europe, Trey Gunn, Robert Fripp and myself, that was the eyeopener.",8,12,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,2006-01-01,2006-12-31,ML
July 1993,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"""Fripp and Sylvian then recorded the album The First Day between December 1992 and March 1993 at studios in New York and New Orleans and released the album in July 1993.",15,12,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1993-07-01,1993-07-31,ML
14 October 1993,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"To capitalise on the album's success, they went back out on the road on their ""The Road to Graceland Tour"" which began in Tokyo 14 October 1993.",0,14,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1993-10-14,1993-10-14,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"A live recording, called Damage, released in 1994, was culled from the final shows of the tour.",2,14,== Biography == | === 1991-1994: Rain Tree Crow and Robert Fripp ===,264430,1994-01-01,1994-12-31,ML
11 November 1995,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,The last show on the tour was played in New York City at The Town Hall 11 November 1995.,1,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1995-11-11,1995-11-11,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Chavez had given birth to two daughters, Ameera-Daya (born 1993) and Isobel (born 1997).",4,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1993-01-01,1993-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Chavez had given birth to two daughters, Ameera-Daya (born 1993) and Isobel (born 1997).",4,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"The pair also moved from Minneapolis, to a house outside of Sonoma in California 1997.",5,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"In 1999, Sylvian released Dead Bees on a Cake, his first solo album proper since Secrets of the Beehive 12 years earlier.",6,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1999-01-01,1999-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Once the album was mixed at Dave Kents Napa Studio, the project was finished, from the beginning to end a process that extended from 1993 to the late summer of 1998, Dead Bees on a Cake eventually being released in March 1999.",7,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1993-01-01,1993-12-31,ML
of 1998,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Once the album was mixed at Dave Kents Napa Studio, the project was finished, from the beginning to end a process that extended from 1993 to the late summer of 1998, Dead Bees on a Cake eventually being released in March 1999.",7,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1998-01-01,1998-12-31,ML
March 1999,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Once the album was mixed at Dave Kents Napa Studio, the project was finished, from the beginning to end a process that extended from 1993 to the late summer of 1998, Dead Bees on a Cake eventually being released in March 1999.",7,16,== Biography == | === 1995-1999: Slow Fire Tour and Dead Bees on a Cake ===,264430,1999-03-01,1999-03-31,ML
