time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,9,== Awards == | === Grammy Awards ===,21463479,2002-01-01,2002-12-31,ML
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Album of the Year - O Brother, Where Art Thou?",1,9,== Awards == | === Grammy Awards ===,21463479,,,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,10,== Awards == | === Grammy Awards ===,21463479,2004-01-01,2004-12-31,ML
Presents,NNPS,TIMELINE_REGEX,TIME,time_reference,Best Historical Album - Martin Scorsese Presents the Blues: A Musical Journey,1,10,== Awards == | === Grammy Awards ===,21463479,,,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2009:,0,11,== Awards == | === Grammy Awards ===,21463479,2009-01-01,2009-12-31,ML
of the Year,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,Album of the Year - Raising Sand (Robert Plant & Alison Krauss),1,11,== Awards == | === Grammy Awards ===,21463479,,,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,13,== Awards == | === Latin Grammy Awards ===,21463479,2010-01-01,2010-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,14,== Awards == | === Latin Grammy Awards ===,21463479,2015-01-01,2015-12-31,ML
