time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"September 13 , 1969","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Yoshinori Sunahara (砂原 良徳, Sunahara Yoshinori, born September 13, 1969) is a Japanese record producer and DJ from Sapporo, Hokkaido.",0,0,,6951402,1969-09-13,1969-09-13,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Crossover (1995),0,3,== Discography == | === Studio albums ===,6951402,1995-01-01,1995-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,Take Off and Landing (1998),0,4,== Discography == | === Studio albums ===,6951402,1998-01-01,1998-12-31,ML
of '70s,IN NNP,PREFIX_REGEX_1 YEAR_REGEX_2,MODIFIER TIME,time_reference,The Sound of '70s (1998),0,5,== Discography == | === Studio albums ===,6951402,,,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,The Sound of '70s (1998),0,5,== Discography == | === Studio albums ===,6951402,1998-01-01,1998-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,Lovebeat (2001),0,6,== Discography == | === Studio albums ===,6951402,2001-01-01,2001-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,Liminal (2011),0,7,== Discography == | === Studio albums ===,6951402,2011-01-01,2011-12-31,ML
'95–'05,POS,YEAR_REGEX_2,TIME,,Works '95–'05 (2007),0,9,== Discography == | === Compilation albums ===,6951402,,,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Works '95–'05 (2007),0,9,== Discography == | === Compilation albums ===,6951402,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"No Boys, No Cry (2009)",0,11,== Discography == | === Soundtrack albums ===,6951402,2009-01-01,2009-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,708090 (1998),0,13,== Discography == | === EPs ===,6951402,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"""Journey Beyond the Stars"" (1998)",0,15,== Discography == | === Singles ===,6951402,1998-01-01,1998-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"""Lovebeat"" (2002)",0,16,== Discography == | === Singles ===,6951402,2002-01-01,2002-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"""Subliminal"" (2010)",0,17,== Discography == | === Singles ===,6951402,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"""Kamisama no Iu Tōri"" (2010) (with Junji Ishiwatari and Etsuko Yakushimaru)",0,18,== Discography == | === Singles ===,6951402,2010-01-01,2010-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Aco - ""Yorokobi ni Saku Hana"", ""Kyō Made no Yūutsu"", and ""Taiyō"" from Absolute Ego (1999)",0,20,== Discography == | === Productions ===,6951402,1999-01-01,1999-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Aco - ""4 Gatsu no Hero"" from Material (2001)",0,21,== Discography == | === Productions ===,6951402,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Supercar - ""Yumegiwa Last Boy"" from Highvision (2002)",0,22,== Discography == | === Productions ===,6951402,2002-01-01,2002-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Cornelius - ""Moon Walk"" from 96/69 (1996)",0,24,== Discography == | === Remixes ===,6951402,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Great 3 - ""Gake ~ G-Surf (Yoshinori Sunahara Mix)"" from ""Glass Roots"" (1996)",0,25,== Discography == | === Remixes ===,6951402,1996-01-01,1996-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Imajuku - ""Horizon (Y. Sunahara Rmx)"" from Cat's Cradle (1999)",0,26,== Discography == | === Remixes ===,6951402,1999-01-01,1999-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Towa Tei - ""Higher (Y. Sunahara's Studio Mix)"" from Lost Control Mix (1999)",0,27,== Discography == | === Remixes ===,6951402,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Aco - ""Spleen (Y. Sunahara's Studio Remix)"" from The Other Side of Absolute Ego (2000)",0,28,== Discography == | === Remixes ===,6951402,2000-01-01,2000-12-31,ML
