time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
16 June 1991,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Joseph ""Joe"" McElderry (; born 16 June 1991)",0,0,,24594884,1991-06-16,1991-06-16,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,He won the sixth series of the ITV show The X Factor in 2009.,2,0,,24594884,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,He was also the winner of the second series of Popstar to Operastar in 2011 and the first series of The Jump in 2014.,4,0,,24594884,2011-01-01,2011-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,He was also the winner of the second series of Popstar to Operastar in 2011 and the first series of The Jump in 2014.,4,0,,24594884,2014-01-01,2014-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, McElderry played the lead role of Joseph in the touring production of the Andrew Lloyd Webber and Tim Rice musical Joseph and the Amazing Technicolour Dreamcoat.",5,0,,24594884,2015-01-01,2015-12-31,ML
of 2014,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2014, McElderry had sold over two million records worldwide.",2,1,,24594884,2014-01-01,2014-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,He was the Pride of South Tyneside's Young Performer of the Year in 2008.,5,3,== Early life ==,24594884,2008-01-01,2008-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, he took the role of 'Danny Zuko' in Grease which was performed at Harton Technology College.",7,3,== Early life ==,24594884,2009-01-01,2009-12-31,ML
2007–2010,CD,YEAR_REGEX_1,TIME,time_reference,2007–2010:,1,5,== Career == | === 2007–2010: The X Factor and touring ===,24594884,2007-01-01,2010-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,McElderry auditioned for The X Factor in 2007 and made it to bootcamp.,0,7,== Career == | ==== The X Factor ====,24594884,2007-01-01,2007-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"He auditioned again in 2009 and sang Luther Vandross's ""Dance with My Father"".",2,7,== Career == | ==== The X Factor ====,24594884,2009-01-01,2009-12-31,ML
